segment,gt_size,gt,top8_pred,top8_precision,top8_recall,top8_f1,vlm_pred,vlm_pred_size,vlm_precision,vlm_recall,vlm_f1,diff_f1
machine-1-1_15849_16368,7,0 8 9 11 12 13 14,0 8 9 11 12 14 30 32,0.75,0.8571,0.8,0 8 9 11 12 14 30 32,8,0.75,0.8571,0.8,0.0
machine-1-1_18071_18528,8,0 1 8 9 11 12 13 14,0 1 9 11 12 22 29 32,0.625,0.625,0.625,0 1 11 29 32,5,0.6,0.375,0.4615,-0.1635
machine-1-2_15925_15973,8,5 6 9 10 12 13 19 29,5 10 14 16 19 21 29 30,0.5,0.5,0.5,5 10 14 16 19 21 29 30,8,0.5,0.5,0.5,0.0
machine-1-2_4629_4688,6,8 9 10 12 14 17,10 11 12 16 23 24 25 31,0.25,0.3333,0.2857,10 11 12 16 23 24 25 31,8,0.25,0.3333,0.2857,0.0
machine-1-3_17660_17716,8,18 19 20 21 22 29 32 33,3 8 9 12 14 15 32 33,0.25,0.25,0.25,3 8 9 12 14 15 32 33,8,0.25,0.25,0.25,0.0
machine-1-4_17630_17718,5,11 14 29 32 33,9 10 12 14 15 29 32 33,0.5,0.8,0.6154,9 10 15 29 32 33,6,0.5,0.6,0.5455,-0.0699
machine-1-5_10620_10637,8,0 1 2 3 6 23 25 31,0 1 2 3 5 23 25 29,0.75,0.75,0.75,0 1 2 3 5 23 25,7,0.8571,0.75,0.8,0.05
machine-1-5_14068_14072,6,18 19 20 21 27 30,0 1 18 19 20 21 27 30,0.75,1.0,0.8571,0 1 18 19 20 21 27 30,8,0.75,1.0,0.8571,0.0
machine-1-6_15052_15055,4,8 9 10 12,1 8 11 12 15 23 25 31,0.25,0.5,0.3333,1 8 11 12 15 23 25 31,8,0.25,0.5,0.3333,0.0
machine-1-6_15802_15805,4,8 9 10 12,0 6 11 12 14 23 25 31,0.125,0.25,0.1667,14 23 31,3,0.0,0.0,0.0,-0.1667
machine-1-6_5167_5172,5,8 9 10 12 17,0 8 12 13 15 16 23 25,0.25,0.4,0.3077,0 8 12 13 15 16 23 25,8,0.25,0.4,0.3077,0.0
machine-1-7_12359_12374,7,0 8 11 12 13 14 15,0 2 8 12 13 14 15 32,0.75,0.8571,0.8,0 2 8 12 13 14 15 32,8,0.75,0.8571,0.8,0.0
machine-1-7_13799_13825,6,8 11 12 13 14 15,2 8 9 12 13 15 32 35,0.5,0.6667,0.5714,2 8 9 12 13 15 32 35,8,0.5,0.6667,0.5714,0.0
machine-1-8_2105_2171,5,0 8 9 10 11,8 9 10 11 12 14 19 25,0.5,0.8,0.6154,8 9 10 11 12 14,6,0.6667,0.8,0.7273,0.1119
machine-1-8_3594_3598,5,6 8 12 13 14,8 9 10 11 12 14 19 31,0.375,0.6,0.4615,8 9 10 11 12 14 19 31,8,0.375,0.6,0.4615,0.0
machine-1-8_4589_4599,4,5 6 10 15,2 3 5 15 18 19 20 27,0.25,0.5,0.3333,2 3 5 15 18 19 20 27,8,0.25,0.5,0.3333,0.0
machine-2-1_6506_6528,5,22 24 31 34 35,14 15 19 23 25 33 34 35,0.25,0.4,0.3077,14 15 19 23 25 33 34 35,8,0.25,0.4,0.3077,0.0
machine-2-2_18541_19382,4,9 10 11 12,0 3 5 6 12 15 23 31,0.125,0.25,0.1667,0 3 5 6 12 15 23 31,8,0.125,0.25,0.1667,0.0
machine-2-2_21405_21428,6,18 19 20 21 27 30,0 2 3 12 19 20 25 31,0.25,0.3333,0.2857,0 2 3 12 19 20 25 31,8,0.25,0.3333,0.2857,0.0
machine-2-4_1012_1016,5,8 11 12 13 14,0 13 14 15 19 31 34 35,0.25,0.4,0.3077,0 13 14 15 19 31 34 35,8,0.25,0.4,0.3077,0.0
machine-2-5_12094_12120,6,0 1 2 3 23 25,0 1 2 3 8 13 19 33,0.5,0.6667,0.5714,0 1 2 3 19,5,0.8,0.6667,0.7273,0.1558
machine-2-5_16524_16549,5,0 8 12 13 14,0 8 9 12 13 23 29 33,0.5,0.8,0.6154,0 8 12 13 23 29,6,0.6667,0.8,0.7273,0.1119
machine-2-6_13890_13995,4,9 11 12 33,5 6 11 12 14 18 19 33,0.375,0.75,0.5,5 11 18 19,4,0.25,0.25,0.25,-0.25
machine-2-7_13623_13625,4,8 12 13 14,8 13 22 25 29 33 34 35,0.25,0.5,0.3333,13 25 29 33,4,0.25,0.25,0.25,-0.0833
machine-2-7_16534_16557,4,8 12 13 14,0 8 9 12 13 14 22 33,0.5,1.0,0.6667,0 8 9 12 13 14,6,0.6667,1.0,0.8,0.1333
machine-2-9_16729_16982,8,8 9 10 11 12 13 14 15,9 12 13 22 23 25 31 34,0.375,0.375,0.375,9 12 23 25 34,5,0.4,0.25,0.3077,-0.0673
