segment_id,quartile,step0_overall_std,f1_I8,f1_K2,fp_I8,fp_K2,n_pred_K2,hedge_K2,diff_K2_minus_I8
machine-2-2_21405_21428,Q1_밀집,0.10862303195865229,0.3333333333333333,0.28571428571428575,4,6,8,False,-0.04761904761904756
machine-2-7_13623_13625,Q1_밀집,0.08932746350108633,0.4,0.2,4,5,6,False,-0.2
machine-3-5_15953_16057,Q1_밀집,0.09154003563839669,0.7692307692307693,0.875,0,1,8,False,0.10576923076923073
machine-1-1_18071_18528,Q1_밀집,0.09801863799077465,0.3076923076923077,0.25,3,6,8,False,-0.05769230769230771
machine-1-5_10620_10637,Q1_밀집,0.10639017195695316,0.6666666666666666,0.7999999999999999,0,1,7,False,0.1333333333333333
machine-1-8_2105_2171,Q1_밀집,0.06222942670830092,0.0,0.0,8,8,8,False,0.0
machine-3-8_21405_21548,Q2Q3_중간,0.07740613811354122,0.0,0.0,6,8,8,False,0.0
machine-1-8_3594_3598,Q2Q3_중간,0.05902843469920811,0.0,0.15384615384615385,6,7,8,False,0.15384615384615385
machine-3-1_10696_10717,Q2Q3_중간,0.08808460941148788,0.125,0.13333333333333333,7,6,7,False,0.008333333333333331
machine-1-6_5167_5172,Q2Q3_중간,0.07524838123550327,0.22222222222222224,0.3076923076923077,3,6,8,False,0.08547008547008547
machine-2-9_24475_24478,Q2Q3_중간,0.08732740754409263,0.6666666666666666,0.7272727272727273,4,3,7,False,0.06060606060606066
machine-3-2_3080_3917,Q2Q3_중간,0.047249565881649816,0.16666666666666666,0.16666666666666666,7,7,8,False,0.0
machine-2-5_16524_16549,Q4_뚜렷,0.11307314774955171,0.16666666666666666,0.15384615384615385,6,7,8,False,-0.012820512820512803
machine-1-6_15052_15055,Q4_뚜렷,0.06771092536517333,0.0,0.16666666666666666,5,7,8,False,0.16666666666666666
machine-1-7_12359_12374,Q4_뚜렷,0.08389628865660212,0.7999999999999999,0.923076923076923,2,0,6,False,0.12307692307692308
machine-1-2_4629_4688,Q4_뚜렷,0.053314364686344526,0.1818181818181818,0.1818181818181818,4,4,5,False,0.0
machine-2-9_17914_18096,Q4_뚜렷,0.08015093176162323,0.1818181818181818,0.3636363636363636,5,4,6,False,0.1818181818181818
machine-3-3_20897_20903,Q4_뚜렷,0.056491053497543846,0.4444444444444445,0.2,3,5,6,False,-0.24444444444444446
