channel,n_gt,zs_gmd_sum_f1,zs_gmd_max_f1,zs_gmd_topk5_f1,zs_gmd_topk10_f1,zs_intra_sum_f1,zs_intra_max_f1,zs_intra_topk10_f1,zs_ltr_sum_f1,zs_ltr_max_f1,zs_ltr_topk10_f1,zs_testbank_sum_f1,zs_testbank_max_f1,zs_testbank_topk10_f1
P-11,2,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.5,0.4,0.4,0.6666666666666666,0.0,0.6666666666666666
T-12,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
D-15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-8,1,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,1.0,0.5,0.8,0.6666666666666666,0.8
F-7,3,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.4
T-13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T-8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
P-14,1,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.4,1.0,1.0,0.6666666666666666
D-14,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
