channel,n_gt,zs_gmd_sum_f1,zs_gmd_max_f1,zs_gmd_topk5_f1,zs_gmd_topk10_f1,zs_intra_sum_f1,zs_intra_max_f1,zs_intra_topk10_f1,zs_ltr_sum_f1,zs_ltr_max_f1,zs_ltr_topk10_f1,zs_testbank_sum_f1,zs_testbank_max_f1,zs_testbank_topk10_f1
ec2_cpu_utilization_5f5533,1,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0
ec2_cpu_utilization_24ae8d,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.8
ec2_cpu_utilization_53ea38,1,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0
ec2_cpu_utilization_77c1ca,1,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1.0,0.5,0.5,1.0,1.0,1.0
ec2_cpu_utilization_ac20cd,1,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0
ec2_cpu_utilization_fe7f93,2,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ec2_disk_write_bytes_1ef3de,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
ec2_disk_write_bytes_c0d644,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ec2_network_in_5abac7,2,0.5,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.5,0.0
elb_request_count_8c0756,1,1.0,0.8,1.0,1.0,0.0,0.0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666
grok_asg_anomaly,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5
rds_cpu_utilization_cc0c53,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5,0.6666666666666666
rds_cpu_utilization_e47b3b,1,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
