channel,n_gt,zs_gmd_sum_f1,zs_gmd_max_f1,zs_gmd_topk5_f1,zs_gmd_topk10_f1,zs_intra_sum_f1,zs_intra_max_f1,zs_intra_topk10_f1,zs_ltr_sum_f1,zs_ltr_max_f1,zs_ltr_topk10_f1,zs_testbank_sum_f1,zs_testbank_max_f1,zs_testbank_topk10_f1
P-1,2,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0
P-3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0
P-4,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P-7,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
D-1,1,1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.7499999999999999,1.0
D-2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
D-3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
F-1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0
F-2,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0
F-3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
T-1,2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.6666666666666666
T-2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
T-3,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6666666666666666,0.6666666666666666
R-1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
