ds,sig,oracle_f1,loose_f1,stage2_f1
MSL,C-1,0.667,0.333,0.0
MSL,D-14,0.667,1.0,1.0
MSL,D-15,1.0,0.4,0.4
MSL,D-16,0.667,0.667,0.667
MSL,F-7,0.6,0.5,0.5
MSL,F-8,0.5,0.0,0.0
MSL,P-11,0.667,0.667,0.667
MSL,P-14,1.0,0.667,0.667
MSL,T-12,0.667,0.5,0.5
MSL,T-13,0.667,0.0,0.0
MSL,T-8,1.0,1.0,1.0
NAB,ec2_cpu_utilization_24ae8d,1.0,0.8,0.8
NAB,ec2_cpu_utilization_53ea38,1.0,1.0,1.0
NAB,ec2_cpu_utilization_5f5533,1.0,1.0,1.0
NAB,ec2_cpu_utilization_77c1ca,0.667,0.667,0.667
NAB,ec2_cpu_utilization_825cc2,0.667,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.667,0.667,0.667
NAB,ec2_cpu_utilization_fe7f93,0.571,0.333,0.333
NAB,ec2_disk_write_bytes_1ef3de,1.0,0.4,0.4
NAB,ec2_disk_write_bytes_c0d644,0.75,0.667,0.667
NAB,ec2_network_in_257a54,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.667,0.4,0.4
NAB,elb_request_count_8c0756,1.0,1.0,1.0
NAB,grok_asg_anomaly,0.857,1.0,1.0
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,1.0,0.667,0.667
NAB,rds_cpu_utilization_cc0c53,1.0,0.667,0.667
NAB,rds_cpu_utilization_e47b3b,0.8,0.8,0.8
SMAP,D-1,0.727,0.5,0.5
SMAP,E-1,0.4,0.333,0.333
SMAP,E-2,0.444,0.333,0.333
SMAP,E-3,0.667,0.667,0.667
SMAP,E-4,0.667,0.6,0.6
SMAP,E-5,0.333,0.333,0.4
SMAP,E-6,0.286,0.333,0.333
SMAP,E-7,0.5,0.5,0.5
SMAP,F-1,0.333,0.333,0.333
SMAP,F-2,1.0,1.0,1.0
SMAP,F-3,0.667,0.667,0.667
SMAP,P-1,0.857,0.857,0.857
SMAP,T-1,0.667,0.667,0.667
