ds,sig,T,n_gt,oracle_f1,loose_f1,stage2_f1,stage2_p,stage2_r,n_loose,n_confirmed,api_calls
MSL,C-1,4422,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.5,4,4,4
MSL,D-14,6300,2,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,3,1,3
MSL,D-15,4232,1,1.0,0.4,0.4,0.25,1.0,4,4,4
MSL,D-16,3642,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
MSL,F-7,7565,3,0.6,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.6666666666666666,6,6,6
MSL,F-8,5829,1,0.5,0.0,0.0,0.0,0.0,3,3,3
MSL,P-11,7504,2,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.5,1.0,5,4,5
MSL,P-14,8980,1,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
MSL,T-12,3575,1,0.6666666666666666,0.4,0.4,0.25,1.0,4,4,4
MSL,T-13,3575,2,0.6666666666666666,0.4,0.4,0.3333333333333333,0.5,3,3,3
MSL,T-8,2267,2,1.0,0.8,0.8,0.6666666666666666,1.0,2,2,2
NAB,ec2_cpu_utilization_24ae8d,4032,2,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,3,3,3
NAB,ec2_cpu_utilization_53ea38,4032,2,1.0,0.8,0.8,0.6666666666666666,1.0,3,3,3
NAB,ec2_cpu_utilization_5f5533,4032,2,1.0,1.0,1.0,1.0,1.0,2,2,2
NAB,ec2_cpu_utilization_77c1ca,4032,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
NAB,ec2_cpu_utilization_825cc2,4032,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
NAB,ec2_cpu_utilization_ac20cd,4032,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
NAB,ec2_cpu_utilization_fe7f93,3958,3,0.5714285714285715,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3
NAB,ec2_disk_write_bytes_1ef3de,4730,1,1.0,0.33333333333333337,0.33333333333333337,0.2,1.0,5,5,5
NAB,ec2_disk_write_bytes_c0d644,4032,3,0.7499999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,3
NAB,ec2_network_in_257a54,4032,1,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2
NAB,ec2_network_in_5abac7,4730,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.5,4,4,4
NAB,elb_request_count_8c0756,4032,2,1.0,1.0,1.0,1.0,1.0,2,2,2
NAB,grok_asg_anomaly,4621,3,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,1.0,3,3,3
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,1243,2,1.0,1.0,1.0,1.0,1.0,1,1,1
NAB,rds_cpu_utilization_cc0c53,4032,2,1.0,1.0,1.0,1.0,1.0,1,1,1
NAB,rds_cpu_utilization_e47b3b,4032,2,0.8,0.8,0.8,0.6666666666666666,1.0,3,3,3
SMAP,D-1,11358,1,0.7272727272727273,0.5714285714285715,0.6666666666666666,0.5,1.0,5,4,5
SMAP,E-1,11396,2,0.4,0.3333333333333333,0.3333333333333333,0.25,0.5,4,4,4
SMAP,E-2,11412,1,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.2,1.0,5,5,5
SMAP,E-3,11187,1,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,6,6,6
SMAP,E-4,11234,1,0.6666666666666666,0.6,0.6,0.42857142857142855,1.0,7,7,7
SMAP,E-5,11174,1,0.33333333333333337,0.25,0.2857142857142857,0.16666666666666666,1.0,7,6,7
SMAP,E-6,11180,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16666666666666666,1.0,6,6,6
SMAP,E-7,11079,1,0.5,0.5,0.5,0.3333333333333333,1.0,3,3,3
SMAP,F-1,11453,1,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.2,1.0,5,5,5
SMAP,F-2,11487,1,1.0,0.8571428571428571,0.8571428571428571,0.75,1.0,4,4,4
SMAP,F-3,11256,1,0.6666666666666666,0.4,0.5,0.3333333333333333,1.0,4,3,4
SMAP,P-1,11377,3,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.375,1.0,8,8,8
SMAP,T-1,11487,2,0.6666666666666666,0.5,0.5,0.5,0.5,2,2,2
