ds,sig,cs,ce,pct,z_global,z_local,verdict,conf,keep,is_tp,flag,reason
MSL,C-1,1624,1959,94.66666666666667,4.516800995024876,6.340904210611767,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +6.3σ deviation.
MSL,C-1,2912,3191,92.0,5.369154228855722,1.0064038804735738,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,C-1,3360,3639,90.66666666666666,4.382572139303483,0.628136539094074,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.4σ global deviation.
MSL,C-1,3920,4367,100.0,5.033582089552239,7.14437814735165,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +7.1σ deviation.
MSL,D-14,392,671,89.90825688073394,0.0,0.0,NORMAL,3,False,False,FP,No visible shift or deviation from global mean.
MSL,D-14,3360,3695,88.9908256880734,0.0,0.0,NORMAL,3,False,False,FP,No visible shift or deviation from global and before context.
MSL,D-14,5096,5935,100.0,20000.0,20000.0,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from baseline.
MSL,D-15,672,951,91.66666666666666,-13.261041284403666,-2.487422998581087,ANOMALY,3,True,False,FP,Clear shift and extreme deviation from global normal in Panel 2 and 3.
MSL,D-15,1176,1399,95.83333333333334,-13.261041284403666,-2.5358583380584556,ANOMALY,3,True,False,FP,Clear shift and extreme deviation from global normal.
MSL,D-15,2576,2855,93.05555555555556,-13.261041284403666,-2.2000754721762594,ANOMALY,3,True,False,FP,Clear shift in Panel 2 and extreme deviation in Panel 3.
MSL,D-15,3136,3639,100.0,-13.261041284403666,-3.01765045700306,ANOMALY,3,True,True,TP,Clear shift and extreme deviation from global and local context.
MSL,D-16,336,671,91.93548387096774,4.685900853556677,0.7563850701286859,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.7σ global deviation.
MSL,D-16,1904,2463,100.0,4.70451375305443,20000.0,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by extreme z-scores.
MSL,F-7,0,335,95.45454545454545,7.149699999999999,3.33217636366844,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-7,3416,3807,90.9090909090909,7.149699999999999,3.3667999204751373,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +7.1σ deviation.
MSL,F-7,4032,4647,99.24242424242425,7.149699999999999,1.552078424485314,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-7,5320,5935,100.0,7.149699999999999,1.618895180847244,ANOMALY,3,True,True,TP,Clear shift and extreme deviation from global normal.
MSL,F-7,6048,6271,88.63636363636364,7.149699999999999,1.618895180847244,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-7,6384,6663,94.6969696969697,7.149699999999999,1.618895180847244,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-8,224,1007,99.00990099009901,64.75200000000004,3.506215723816584,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-8,1344,2015,100.0,64.75200000000004,3.862912195704789,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,F-8,2800,3079,94.05940594059405,64.75200000000004,3.4252817193388463,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,P-11,280,615,87.02290076335878,-3.0451054882394932,-5.841886750531712,ANOMALY,3,True,False,FP,Clear shift in level confirmed by -5.8σ deviation in Panel 2.
MSL,P-11,5040,5487,100.0,-6.437316464718476,-6.638803474791388,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by extreme z-scores.
MSL,P-11,5600,5991,99.23664122137404,-14.188537776193904,-15.04692908370611,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation confirmed visually.
MSL,P-11,6104,6495,94.65648854961832,-1.4759194583036375,-1.2569355665857207,NORMAL,2,False,False,FP,Panel 2 shows continuity; deviation likely noise.
MSL,P-11,7056,7503,95.41984732824427,-4.718134711332868,-8.479648029126356,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by extreme z-scores.
MSL,P-14,7168,8567,100.0,-474.2086517370873,-2237.1646203330806,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from normal.
MSL,P-14,8680,8959,91.0828025477707,-412.12188558608847,-1944.1091379034838,ANOMALY,3,True,False,FP,Clear shift in level confirmed by extreme z-scores in Panel 2.
MSL,T-12,224,503,90.0,4.0032577055886245,5.568570685847716,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +5.6σ deviation.
MSL,T-12,1008,1343,100.0,3.9358682848412823,9.696870934879414,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +9.7σ deviation.
MSL,T-12,1624,1903,96.66666666666667,4.0032577055886245,7.413657578615544,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +7.4σ deviation.
MSL,T-12,2968,3247,93.33333333333333,-2.8159012389970175,-6.7151454500197385,ANOMALY,3,True,False,FP,Clear shift in level confirmed by -6.7σ deviation in Panel 2.
MSL,T-13,168,503,95.0,-2.111463252540021,0.7090940806344981,ANOMALY,3,True,False,FP,Clear shift in level and pattern from before-context in Panel 2.
MSL,T-13,952,1343,100.0,-2.847850925394758,-28.702039203671692,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by extreme z-score.
MSL,T-13,3024,3303,88.33333333333333,1.6665543425199052,21.55460598552118,ANOMALY,3,True,True,TP,Clear shift in level confirmed by +21.6σ vs-before z-score.
MSL,T-8,952,1175,86.48648648648648,10.098180839880111,7.8945568398854515,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
MSL,T-8,1456,2127,100.0,10.098180839880111,11.920033791457158,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from normal.
NAB,ec2_cpu_utilization_24ae8d,2016,2239,85.5072463768116,899.7829999999993,12.943947729881165,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,ec2_cpu_utilization_24ae8d,2576,2911,91.30434782608695,898.4339999999992,14.135971446081623,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,ec2_cpu_utilization_24ae8d,3416,4031,100.0,1490.6449999999986,22.36633663813777,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from normal.
NAB,ec2_cpu_utilization_53ea38,1288,1791,100.0,12.028583333333323,8.853159900977104,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by extreme z-scores.
NAB,ec2_cpu_utilization_53ea38,2072,2855,92.7536231884058,11.94427083333332,8.56203556645116,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by extreme z-scores.
NAB,ec2_cpu_utilization_53ea38,3416,3639,86.95652173913044,9.358687499999993,6.355303759815703,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global mean.
NAB,ec2_cpu_utilization_5f5533,1064,1455,92.7536231884058,4.336438970120796,4.08022424706886,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by +4.1σ vs-before z-score.
NAB,ec2_cpu_utilization_5f5533,2688,3247,100.0,5.630552765416413,8.62391945798054,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by +8.6σ deviation.
NAB,ec2_cpu_utilization_77c1ca,1288,2015,100.0,33579.982500000086,5291.710998370473,ANOMALY,3,True,True,TP,Extreme deviation confirmed by visual shift and statistical evidence.
NAB,ec2_cpu_utilization_77c1ca,3080,3415,92.7536231884058,33591.44900000009,6421.969328678998,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from normal.
NAB,ec2_cpu_utilization_825cc2,1400,2127,100.0,-17.01914237899075,-55.424486712663246,ANOMALY,3,True,True,TP,Clear shift in level confirmed by extreme z-scores and visual evidence.
NAB,ec2_cpu_utilization_825cc2,3808,4031,85.5072463768116,-2.598897356676969,-4.344284732061739,ANOMALY,3,True,False,FP,Clear shift in level confirmed by -4.3σ deviation in Panel 2.
NAB,ec2_cpu_utilization_ac20cd,224,727,95.65217391304348,-16.83271135646687,-19.206594061641333,ANOMALY,3,True,False,FP,Clear shift in level confirmed by extreme z-scores and visual evidence.
NAB,ec2_cpu_utilization_ac20cd,3360,3807,100.0,34.91335410094635,34.94195884982049,ANOMALY,3,True,True,TP,Clear shift in level confirmed by extreme z-score in Panel 2.
NAB,ec2_cpu_utilization_fe7f93,0,279,92.53731343283582,77.76441778523488,6.56023819093822,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,ec2_cpu_utilization_fe7f93,616,951,95.52238805970148,79.43708724832211,181.54829503264796,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by extreme z-scores.
NAB,ec2_cpu_utilization_fe7f93,2800,3415,100.0,77.26646476510066,119.62358935547711,ANOMALY,3,True,False,FP,Clear shift and extreme deviation from normal in Panel 2.
NAB,ec2_disk_write_bytes_1ef3de,448,727,92.5925925925926,6.000800313503549,1710710000000.0,ANOMALY,3,True,False,FP,Clear shift in level and variance in Panel 2.
NAB,ec2_disk_write_bytes_1ef3de,1624,1903,88.88888888888889,6.752588473501492,12.985273365134917,ANOMALY,3,True,False,FP,Clear shift in level and variance confirmed by +13.0σ vs-before z-score.
NAB,ec2_disk_write_bytes_1ef3de,2408,2799,100.0,15.749491908967727,4489870000000.0,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from baseline.
NAB,ec2_disk_write_bytes_1ef3de,3080,3415,93.82716049382715,15.843746051647573,11.476108098452364,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,ec2_disk_write_bytes_1ef3de,4424,4703,95.06172839506173,19.203606322694743,2103.0633915778426,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from normal.
NAB,ec2_disk_write_bytes_c0d644,1288,2015,100.0,9.573205085994088,6739930000000.0,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by extreme z-scores.
NAB,ec2_disk_write_bytes_c0d644,2520,2855,97.10144927536231,9.705058180630505,4.971266870905542,ANOMALY,3,True,False,FP,Clear shift in level and variance confirmed by +9.7σ deviation.
NAB,ec2_disk_write_bytes_c0d644,3080,3359,91.30434782608695,9.34527805705618,6579460000000.0,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from baseline.
NAB,ec2_network_in_257a54,1344,2071,100.0,9428.746733281958,215.42193580578933,ANOMALY,3,True,True,TP,Extreme deviation confirmed by visual shift and statistical evidence.
NAB,ec2_network_in_257a54,3528,3751,85.5072463768116,38.86661626280789,81.63233008255865,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from normal.
NAB,ec2_network_in_5abac7,392,783,97.53086419753086,134055.63841666665,202261.47790753405,ANOMALY,3,True,False,FP,Extreme deviation confirmed by visual shift and statistical evidence.
NAB,ec2_network_in_5abac7,1680,1903,86.41975308641975,135029.831030303,10.699404701737802,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,ec2_network_in_5abac7,2408,2799,100.0,166902.76644696968,242594.9265894408,ANOMALY,3,True,True,TP,Extreme deviation from normal and before context confirmed visually.
NAB,ec2_network_in_5abac7,4312,4703,95.06172839506173,208590.95432575754,16.427434253779072,ANOMALY,3,True,False,FP,Clear shift in level and extreme deviation from global normal.
NAB,elb_request_count_8c0756,504,895,94.20289855072464,6.422,6.065746507004214,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by +6.1σ deviation.
NAB,elb_request_count_8c0756,3416,3975,100.0,11.646999999999998,11.845105908530098,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by extreme z-scores.
NAB,grok_asg_anomaly,56,335,88.60759493670885,-7.004213348257114,-106.40158186637574,ANOMALY,3,True,False,FP,Clear shift in level confirmed by extreme z-scores and visual evidence.
NAB,grok_asg_anomaly,1064,1623,96.20253164556962,3.5024819955228663,8.466641235816645,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by +8.5σ vs-before z-score.
NAB,grok_asg_anomaly,3584,3919,100.0,-9.618782709732436,-19.62012075397956,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by extreme z-scores.
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,335,100.0,48.51101890931939,5.7306067084953725,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from global normal.
NAB,rds_cpu_utilization_cc0c53,2744,3639,100.0,63.334220935960495,56.7655986257869,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from baseline.
NAB,rds_cpu_utilization_e47b3b,728,1175,100.0,7.154768427187949,132.41888459970642,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from normal.
NAB,rds_cpu_utilization_e47b3b,2408,2743,94.20289855072464,1.5628658536585367,20.663715296967116,ANOMALY,3,True,True,TP,Clear shift in level confirmed by +20.7σ vs-before z-score.
NAB,rds_cpu_utilization_e47b3b,3416,3751,91.30434782608695,1.7697157460545192,4.571315103267436,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.6σ vs-before z-score.
SMAP,D-1,0,503,93.46733668341709,-3.372500000000002,-3.2839243486051846,ANOMALY,3,True,False,FP,Clear shift in level confirmed by severe z-scores in Panel 2.
SMAP,D-1,1624,2015,91.95979899497488,-2.6980843125000016,-2.69068347331073,ANOMALY,3,True,False,FP,Clear shift in level confirmed by -2.7σ deviation in Panel 2.
SMAP,D-1,7392,7727,89.44723618090453,-1.3490000000000013,-1.8212614811216865,NORMAL,2,False,False,FP,"Panel 2 shows mild deviation, likely noise, not a clear shift."
SMAP,D-1,7952,8959,100.0,22.258499999999998,31.415643437789882,ANOMALY,3,True,True,TP,Clear shift in level and variance confirmed by extreme z-scores.
SMAP,D-1,9296,9575,88.44221105527639,17.537,3.775212366773856,ANOMALY,3,True,True,TP,Clear shift in level and extreme deviation from global normal.
SMAP,E-1,1232,1623,94.5,2.475171811044597,1.8415613126761323,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +2.5σ global deviation.
SMAP,E-1,2632,2911,90.5,2.475171811044597,2.592708127928465,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +2.6σ deviation.
SMAP,E-1,8176,9127,100.0,2.475171811044597,2.592708127928465,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +2.6σ deviation.
SMAP,E-1,10584,11311,96.0,2.475171811044597,2.1444810955021385,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +2.5σ deviation.
SMAP,E-2,56,447,94.0,4.354937661627636,2.7788074909528335,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.4σ global deviation.
SMAP,E-2,728,1567,93.5,4.354937661627636,1.8237113248527344,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.4σ global deviation.
SMAP,E-2,2128,2911,97.5,4.354937661627636,2.4444824976088673,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +4.4σ global deviation.
SMAP,E-2,8288,8959,100.0,4.626573877259925,4.320448161616977,ANOMALY,3,True,True,TP,Clear shift in level and pattern confirmed by +4.6σ deviation.
SMAP,E-2,10864,11087,85.5,2.617877229303124,2.1050167604535406,ANOMALY,3,True,False,FP,Clear shift in level and pattern confirmed by +2.6σ deviation.
