ds,sig,cs,ce,pct,z_global,z_local,z_max,ctx_label,verdict,conf,keep,is_tp,flag,reason
MSL,C-1,1680,1959,94.66666666666667,4.52,8.55,8.55,before,ANOMALY,3,True,False,FP,Clear deviation with z_max > 5σ and visually distinct pattern.
MSL,C-1,2968,3191,92.0,5.37,1.51,5.37,before,ANOMALY,2,True,False,FP,"Severe deviation with z_max > 5σ, not similar to background patterns."
MSL,C-1,3416,3639,90.66666666666666,4.34,1.83,4.34,before,ANOMALY,2,True,False,FP,"Distinct deviation with z_max 4.3σ, not similar to background patterns."
MSL,C-1,3976,4367,100.0,5.03,4.28,5.03,before,ANOMALY,2,True,True,TP,"Severe deviation with z_max > 5σ, visually distinct from background."
MSL,D-14,5096,5879,100.0,20000.0,20000.0,20000.0,before,ANOMALY,3,True,True,TP,Extreme deviation >20σ with no similar patterns elsewhere.
MSL,D-15,672,895,91.66666666666666,-13.26,-2.49,13.26,before,ANOMALY,3,True,False,FP,Severe deviation of -13.3σ with no similar patterns elsewhere.
MSL,D-15,1176,1399,95.83333333333334,-13.26,-2.54,13.26,before,ANOMALY,3,True,False,FP,"Severe deviation of -13.3σ, visually distinct from background."
MSL,D-15,2632,2855,93.05555555555556,-13.26,-2.27,13.26,before,ANOMALY,3,True,False,FP,Severe deviation with z_max > 5σ and visually distinct pattern.
MSL,D-15,3192,3639,100.0,-13.26,-3.18,13.26,before,ANOMALY,3,True,True,TP,Severe deviation with z_max > 5σ and visually distinct pattern.
MSL,D-16,392,615,91.93548387096774,4.69,0.67,4.69,before,ANOMALY,2,True,False,FP,"Distinct pattern with z_max 4.7σ, not similar to background."
MSL,D-16,1904,2407,100.0,4.7,20000.0,20000.0,before,ANOMALY,3,True,True,TP,Extreme deviation with z_max > 20σ and visually distinct from background.
MSL,F-7,0,279,95.45454545454545,7.15,3.33,7.15,after,ANOMALY,3,True,False,FP,Severe deviation with z_max > 5σ and visually distinct pattern.
MSL,F-7,3472,3807,90.9090909090909,7.15,2.76,7.15,before,ANOMALY,2,True,True,TP,"Severe deviation with z_max > 5σ, distinct from background."
MSL,F-7,4088,4591,99.24242424242425,7.15,1.53,7.15,before,ANOMALY,3,True,False,FP,Severe deviation with z_max > 5σ and visually distinct pattern.
MSL,F-7,5320,5935,100.0,7.15,1.62,7.15,before,ANOMALY,3,True,True,TP,Severe deviation of +7.1σ with no similar patterns elsewhere.
MSL,F-7,6384,6663,94.6969696969697,7.15,2.45,7.15,before,ANOMALY,2,True,False,FP,"Severe deviation with z_max > 5σ, not similar to background."
MSL,F-8,336,951,99.00990099009901,64.75,3.27,64.75,before,ANOMALY,3,True,False,FP,"Extreme deviation with z_max > 64σ, visually distinct from background."
MSL,F-8,1344,1959,100.0,64.75,3.86,64.75,before,ANOMALY,3,True,False,FP,Extreme deviation of +64.8σ with no similar patterns elsewhere.
MSL,F-8,2800,3023,94.05940594059405,64.75,3.43,64.75,before,ANOMALY,3,True,False,FP,"Extreme deviation with z_max > 64σ, visually distinct from background."
MSL,P-11,5040,5431,100.0,-6.44,-6.64,6.64,before,ANOMALY,3,True,True,TP,Severe deviation >5σ with no similar patterns elsewhere.
MSL,P-11,5600,5991,99.23664122137404,-14.19,-15.05,15.05,before,ANOMALY,3,True,True,TP,"Severe deviation >5σ, visually distinct from background."
MSL,P-11,6160,6439,94.65648854961832,-1.48,-1.26,1.48,before,NORMAL,1,False,False,FP,Pattern resembles normal variation; z_max < 3σ.
MSL,P-11,7056,7447,95.41984732824427,-4.72,-8.48,8.48,before,ANOMALY,3,True,False,FP,Clear deviation with z_max > 5σ and visually distinct pattern.
MSL,P-14,7224,8399,100.0,-474.21,-2163.96,2163.96,before,ANOMALY,3,True,True,TP,Extreme deviation >20σ with no similar patterns elsewhere.
MSL,P-14,8736,8959,91.0828025477707,-412.05,-2.19,412.05,before,ANOMALY,3,True,False,FP,"Extreme deviation from global normal, z_max > 20σ."
MSL,T-12,1008,1343,100.0,3.94,9.7,9.7,before,ANOMALY,3,True,False,FP,Clear deviation with z_max > 5σ and visually distinct pattern.
MSL,T-12,1680,1903,96.66666666666667,4.0,6.53,6.53,before,ANOMALY,3,True,True,TP,Clear deviation with z_max > 5σ and visually distinct pattern.
MSL,T-12,2968,3247,93.33333333333333,-2.82,-6.72,6.72,before,ANOMALY,3,True,False,FP,Severe deviation from context with z_max > 5σ and visually distinct.
MSL,T-13,224,503,95.0,-2.01,1.11,2.01,before,NORMAL,1,False,False,FP,Pattern resembles normal variation; z_max < 3σ.
