ds,sig,T,n_gt,n_s1,f1_s1,p_s1,r_s1,f1_v5,p_v5,r_v5,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,s1_ivs,v5_ivs,oracle_ivs
MSL,C-1,4422,2,4,0.3333333333333333,0.25,0.5,0.4,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.20000000000000012,3,4,0.5,0.75,"[[1680, 1959], [2968, 3191], [3416, 3639], [3976, 4367]]","[[1676, 1959], [2686, 3636], [3413, 3639]]","[[1680, 1959], [2686, 3191], [3416, 3639], [3976, 4367]]"
MSL,D-14,6300,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,"[[5096, 5879]]","[[5093, 6268]]","[[5096, 5879]]"
MSL,D-15,4232,1,4,0.4,0.25,1.0,0.0,0.0,0.0,0.4,0.0,,1,4,0.75,1.0,"[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]","[[1173, 1399]]","[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]"
MSL,D-16,3642,1,2,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.5,"[[392, 615], [1904, 2407]]","[[389, 616], [1901, 2407]]","[[392, 615], [1904, 2407]]"
MSL,F-7,7565,3,5,0.5,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.7499999999999999,0.2499999999999999,0.0,5,5,0.4,0.6,"[[0, 279], [3472, 3807], [4088, 4591], [5320, 5935], [6384, 6663]]","[[0, 279], [3468, 4532], [4088, 4591], [5320, 7557], [6384, 6663]]","[[0, 279], [3472, 3807], [3468, 4591], [3472, 5935], [6384, 6663]]"
MSL,F-8,5829,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,3,0.0,0.6666666666666666,"[[336, 951], [1344, 1959], [2800, 3023]]","[[278, 951], [278, 2014], [2796, 3023]]","[[336, 951], [1344, 1959], [2800, 3023]]"
MSL,P-11,7504,2,4,0.6666666666666666,0.5,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.19047619047619047,1.0,4,4,0.5,0.75,"[[5040, 5431], [5600, 5991], [6160, 6439], [7056, 7447]]","[[5037, 5431], [5600, 6436], [5653, 6439], [6158, 7447]]","[[5040, 5431], [5600, 5991], [5653, 6439], [7056, 7447]]"
MSL,P-14,8980,1,2,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.5,"[[7224, 8399], [8736, 8959]]","[[7220, 8958], [8734, 8959]]","[[7224, 8399], [8736, 8959]]"
MSL,T-12,3575,1,3,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.5,0.0,,2,3,0.6666666666666666,0.6666666666666666,"[[1008, 1343], [1680, 1903], [2968, 3247]]","[[1008, 1343], [2964, 3524]]","[[1008, 1343], [1680, 1903], [2968, 3247]]"
MSL,T-13,3575,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,2,0.0,1.0,"[[224, 503], [952, 1343]]","[[220, 503], [949, 1343]]","[[224, 503], [952, 1343]]"
MSL,T-8,2267,2,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0,1,1.0,1.0,"[[1512, 2127]]",[],"[[1512, 2127]]"
NAB,ec2_cpu_utilization_24ae8d,4032,2,2,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,,1,2,1.0,0.5,"[[2632, 2855], [3416, 4031]]","[[2632, 3077]]","[[2632, 2855], [3416, 4031]]"
NAB,ec2_cpu_utilization_53ea38,4032,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,"[[1288, 1791], [2576, 2855]]","[[389, 3076], [2410, 3076]]","[[1288, 1791], [2576, 2855]]"
NAB,ec2_cpu_utilization_5f5533,4032,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.5,"[[1120, 1399], [2744, 3191]]","[[1117, 1400], [2741, 3191]]","[[1120, 1399], [2744, 3191]]"
NAB,ec2_cpu_utilization_77c1ca,4032,1,2,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,,1,2,0.5,0.5,"[[1288, 2015], [3136, 3359]]","[[1286, 2852]]","[[1288, 2015], [3136, 3359]]"
NAB,ec2_cpu_utilization_825cc2,4032,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,1.0,"[[1512, 2071]]","[[1509, 2071]]","[[1512, 2071]]"
NAB,ec2_cpu_utilization_ac20cd,4032,1,2,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,1.0,"[[336, 671], [3360, 3751]]","[[333, 671], [3357, 3751]]","[[336, 671], [3360, 3751]]"
NAB,ec2_cpu_utilization_fe7f93,3958,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,1.5000000000000002,2,3,0.6666666666666666,0.6666666666666666,"[[0, 223], [672, 951], [2800, 3191]]","[[0, 892], [668, 953]]","[[0, 892], [672, 951], [2800, 3191]]"
NAB,ec2_disk_write_bytes_1ef3de,4730,1,4,0.4,0.25,1.0,0.4,0.25,1.0,0.6666666666666666,0.2666666666666666,0.0,4,4,0.0,0.5,"[[448, 727], [2408, 2799], [3136, 3359], [4424, 4703]]","[[444, 728], [2404, 2799], [3136, 3413], [4420, 4703]]","[[448, 727], [2408, 2799], [2464, 3359], [4424, 4703]]"
