ds,sig,T,n_gt,n_s1,mode,f1_s1,p_s1,r_s1,f1_out,p_out,r_out,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,tp_retention,fp_rejection,false_discard,n_tp,n_fp,s1_ivs,out_ivs,oracle_ivs
MSL,C-1,4422,2,4,A,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,0.5,0.6666666666666666,0.3333333333333333,0.0,4,4,0.0,0.25,1.0,0.0,0.0,1,3,"[[1680, 1959], [2968, 3191], [3416, 3639], [3976, 4367]]","[[1645, 2037], [2941, 3276], [3389, 3836], [3929, 4367]]","[[1680, 1959], [2660, 3191], [3416, 3639], [3976, 4367]]"
MSL,D-14,6300,2,1,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[5096, 5879]]","[[5055, 5896]]","[[5096, 5879]]"
MSL,D-15,4232,1,4,A,0.4,0.25,1.0,0.4,0.25,1.0,0.4,0.0,,4,4,0.0,0.0,1.0,0.0,0.0,1,3,"[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]","[[310, 1372], [1092, 1652], [2100, 3446], [3136, 4145]]","[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]"
MSL,D-16,3642,1,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[392, 615], [1904, 2407]]","[[365, 617], [1898, 2471]]","[[392, 615], [1904, 2407]]"
MSL,F-7,7565,3,5,A,0.5,0.4,0.6666666666666666,0.5714285714285715,0.4,1.0,0.7499999999999999,0.2499999999999999,0.28571428571428614,5,5,0.4,0.0,1.0,0.0,0.0,2,3,"[[0, 279], [3472, 3807], [4088, 4591], [5320, 5935], [6384, 6663]]","[[0, 301], [3374, 3990], [3983, 4593], [5005, 6013], [6293, 6699]]","[[0, 279], [3472, 3807], [3532, 4591], [5005, 5935], [6384, 6663]]"
MSL,F-8,5829,1,3,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,3,0.0,0.0,,0.0,,0,3,"[[336, 951], [1344, 1959], [2800, 3023]]","[[260, 1309], [1309, 2051], [2773, 3024]]","[[336, 951], [1344, 1959], [2800, 3023]]"
MSL,P-11,7504,2,4,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.8571428571428571,0.19047619047619047,0.0,4,4,0.0,0.0,1.0,0.0,0.0,2,2,"[[5040, 5431], [5600, 5991], [6160, 6439], [7056, 7447]]","[[4991, 5551], [5115, 6392], [6027, 6462], [6169, 7448]]","[[5040, 5431], [5600, 5991], [5678, 6439], [7056, 7447]]"
MSL,P-14,8980,1,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[7224, 8399], [8736, 8959]]","[[7189, 8827], [8596, 8961]]","[[7224, 8399], [8736, 8959]]"
MSL,T-12,3575,1,3,A,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[1008, 1343], [1680, 1903], [2968, 3247]]","[[967, 1360], [1036, 1904], [2933, 3511]]","[[1008, 1343], [1680, 1903], [2968, 3247]]"
MSL,T-13,3575,2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,2,0.0,0.0,,0.0,,0,2,"[[224, 503], [952, 1343]]","[[189, 1254], [913, 1354]]","[[224, 503], [952, 1343]]"
MSL,T-8,2267,2,1,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[1512, 2127]]","[[1492, 2164]]","[[1512, 2127]]"
NAB,ec2_cpu_utilization_24ae8d,4032,2,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.5,0.5,1.0,0.0,0.0,1,1,"[[2632, 2855], [3416, 4031]]","[[2632, 2940], [3171, 4031]]","[[2632, 2855], [3416, 4031]]"
NAB,ec2_cpu_utilization_53ea38,4032,2,2,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[1288, 1791], [2576, 2855]]","[[1057, 1967], [2436, 2877]]","[[1288, 1791], [2576, 2855]]"
NAB,ec2_cpu_utilization_5f5533,4032,2,2,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[1120, 1399], [2744, 3191]]","[[1085, 1426], [2576, 3472]]","[[1120, 1399], [2744, 3191]]"
NAB,ec2_cpu_utilization_77c1ca,4032,1,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[1288, 2015], [3136, 3359]]","[[1254, 2387], [2996, 3360]]","[[1288, 2015], [3136, 3359]]"
NAB,ec2_cpu_utilization_825cc2,4032,1,1,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,1.0,1.0,,0.0,1,0,"[[1512, 2071]]","[[1498, 2071]]","[[1512, 2071]]"
NAB,ec2_cpu_utilization_ac20cd,4032,1,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[336, 671], [3360, 3751]]","[[294, 687], [3311, 3759]]","[[336, 671], [3360, 3751]]"
