ds,sig,T,n_gt,n_s1,mode,f1_s1,p_s1,r_s1,f1_out,p_out,r_out,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,tp_retention,fp_rejection,false_discard,n_tp,n_fp,s1_ivs,out_ivs,oracle_ivs
MSL,C-1,4422,2,4,B,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,0.5,0.6666666666666666,0.3333333333333333,0.0,4,4,0.0,0.0,1.0,0.0,0.0,1,3,"[[1680, 1959], [2968, 3191], [3416, 3639], [3976, 4367]]","[[1680, 1959], [2968, 3191], [3416, 3639], [3976, 4367]]","[[1680, 1959], [2660, 3191], [3416, 3639], [3976, 4367]]"
MSL,D-14,6300,2,1,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[5096, 5879]]","[[5096, 5879]]","[[5096, 5879]]"
MSL,D-15,4232,1,4,B,0.4,0.25,1.0,0.4,0.25,1.0,0.4,0.0,,4,4,0.0,0.0,1.0,0.0,0.0,1,3,"[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]","[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]","[[672, 895], [1176, 1399], [2632, 2855], [3192, 3639]]"
MSL,D-16,3642,1,2,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[392, 615], [1904, 2407]]","[[392, 615], [1904, 2407]]","[[392, 615], [1904, 2407]]"
MSL,F-7,7565,3,5,B,0.5,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.7499999999999999,0.2499999999999999,0.0,5,5,0.0,0.0,1.0,0.0,0.0,2,3,"[[0, 279], [3472, 3807], [4088, 4591], [5320, 5935], [6384, 6663]]","[[0, 279], [3472, 3807], [4088, 4591], [5320, 5935], [6384, 6663]]","[[0, 279], [3472, 3807], [3532, 4591], [5005, 5935], [6384, 6663]]"
MSL,F-8,5829,1,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,3,0.0,0.0,,0.0,,0,3,"[[336, 951], [1344, 1959], [2800, 3023]]","[[336, 951], [1344, 1959], [2800, 3023]]","[[336, 951], [1344, 1959], [2800, 3023]]"
MSL,P-11,7504,2,4,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.8571428571428571,0.19047619047619047,0.0,4,4,0.0,0.0,1.0,0.0,0.0,2,2,"[[5040, 5431], [5600, 5991], [6160, 6439], [7056, 7447]]","[[5040, 5431], [5600, 5991], [6160, 6439], [7056, 7447]]","[[5040, 5431], [5600, 5991], [5678, 6439], [7056, 7447]]"
MSL,P-14,8980,1,2,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[7224, 8399], [8736, 8959]]","[[7224, 8399], [8736, 8959]]","[[7224, 8399], [8736, 8959]]"
MSL,T-12,3575,1,3,B,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[1008, 1343], [1680, 1903], [2968, 3247]]","[[1008, 1343], [1680, 1903], [2968, 3247]]","[[1008, 1343], [1680, 1903], [2968, 3247]]"
MSL,T-13,3575,2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,2,0.0,0.0,,0.0,,0,2,"[[224, 503], [952, 1343]]","[[224, 503], [952, 1343]]","[[224, 503], [952, 1343]]"
