dataset,signal,baseline_f1,recon_only_f1,w03_f1,w05_f1,w07_f1,w10_f1
NAB,ec2_cpu_utilization_24ae8d,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.8,0.8,1.0
NAB,ec2_cpu_utilization_53ea38,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_5f5533,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
NAB,ec2_cpu_utilization_77c1ca,1.0,0.0,1.0,0.8,0.6666666666666666,0.5
NAB,ec2_cpu_utilization_825cc2,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.5,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_fe7f93,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
NAB,ec2_disk_write_bytes_1ef3de,0.5,0.0,1.0,1.0,1.0,1.0
NAB,ec2_disk_write_bytes_c0d644,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_network_in_257a54,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.4,0.0,0.6666666666666666,0.6666666666666666,0.4,0.0
NAB,elb_request_count_8c0756,0.5,0.0,0.8,0.5,0.5,0.0
NAB,grok_asg_anomaly,0.5,0.5,0.6666666666666666,0.8571428571428571,0.888888888888889,1.0
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
NAB,rds_cpu_utilization_e47b3b,0.8,0.6666666666666666,0.8,0.8,0.8,0.8
SMAP,D-1,0.6,0.0,0.6,0.4444444444444445,0.2857142857142857,0.2857142857142857
SMAP,E-1,0.4,0.0,0.5333333333333333,0.5000000000000001,0.47058823529411764,0.4285714285714285
SMAP,E-2,0.6666666666666666,0.0,0.33333333333333337,0.33333333333333337,0.2857142857142857,0.3636363636363636
SMAP,E-3,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
SMAP,E-4,0.6666666666666666,1.0,0.6,0.6666666666666666,0.7499999999999999,0.8571428571428571
SMAP,E-5,0.0,0.0,0.2222222222222222,0.2222222222222222,0.25,0.2857142857142857
SMAP,E-6,1.0,0.0,1.0,1.0,1.0,1.0
SMAP,E-7,1.0,0.0,1.0,1.0,1.0,1.0
SMAP,F-1,0.0,0.0,0.0,0.0,0.0,0.0
SMAP,F-2,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8333333333333333,0.8
SMAP,F-3,0.0,0.0,0.4,0.4,0.5,0.5
SMAP,P-1,0.6666666666666666,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2
SMAP,T-1,0.0,0.0,0.32432432432432434,0.3783783783783784,0.42424242424242425,0.4166666666666667
MSL,P-11,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666
MSL,T-12,0.6666666666666666,1.0,0.8,0.8,0.8,0.8
MSL,D-15,0.0,0.0,0.0,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8
MSL,F-8,0.4444444444444445,0.0,0.5,0.33333333333333337,0.33333333333333337,0.0
MSL,F-7,0.6666666666666666,0.0,0.28571428571428575,0.0,0.0,0.0
MSL,T-13,0.4,0.6666666666666666,0.0,0.0,0.5,0.6666666666666666
MSL,D-16,0.8,1.0,1.0,1.0,1.0,1.0
MSL,T-8,1.0,0.0,1.0,1.0,1.0,1.0
MSL,P-14,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
MSL,D-14,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
