dataset,signal,k_medium,baseline_f1,mae_km_f1
NAB,ec2_cpu_utilization_24ae8d,13,0.42857142857142855,0.6666666666666666
NAB,ec2_cpu_utilization_53ea38,13,0.8,1.0
NAB,ec2_cpu_utilization_5f5533,13,0.6666666666666666,0.8
NAB,ec2_cpu_utilization_77c1ca,13,1.0,0.6666666666666666
NAB,ec2_cpu_utilization_825cc2,13,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,13,0.5,0.6666666666666666
NAB,ec2_cpu_utilization_fe7f93,13,0.4,0.3333333333333333
NAB,ec2_disk_write_bytes_1ef3de,16,0.5,1.0
NAB,ec2_disk_write_bytes_c0d644,13,0.5,0.5714285714285715
NAB,ec2_network_in_257a54,13,1.0,1.0
NAB,ec2_network_in_5abac7,16,0.4,0.5
NAB,elb_request_count_8c0756,13,0.5,0.8
NAB,grok_asg_anomaly,15,0.5,0.7499999999999999
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,6,0.6666666666666666,0.0
NAB,rds_cpu_utilization_cc0c53,13,1.0,0.8
NAB,rds_cpu_utilization_e47b3b,13,0.8,1.0
SMAP,D-1,39,0.6,0.6666666666666666
SMAP,E-1,40,0.4,0.5333333333333333
SMAP,E-2,40,0.6666666666666666,0.5
SMAP,E-3,39,0.0,0.5
SMAP,E-4,39,0.6666666666666666,0.5
SMAP,E-5,39,0.0,0.18181818181818182
SMAP,E-6,39,1.0,1.0
SMAP,E-7,38,1.0,1.0
SMAP,F-1,40,0.0,0.0
SMAP,F-2,40,0.0,1.0
SMAP,F-3,39,0.0,0.0
SMAP,P-1,40,0.6666666666666666,0.6666666666666667
SMAP,T-1,40,0.0,0.19999999999999998
MSL,P-11,26,0.6666666666666666,0.4
MSL,T-12,12,0.6666666666666666,0.8
MSL,D-15,14,0.0,0.0
MSL,C-1,15,0.6666666666666666,0.6666666666666666
MSL,F-8,20,0.4444444444444445,0.5714285714285715
MSL,F-7,26,0.6666666666666666,0.28571428571428575
MSL,T-13,12,0.4,0.0
MSL,D-16,12,0.8,0.0
MSL,T-8,7,1.0,1.0
MSL,P-14,31,0.6666666666666666,1.0
MSL,D-14,21,1.0,1.0
