dataset,signal,baseline_f1,std_only_f1,ltr_mean_w03_f1,ltr_std_w05_f1,ltr_std_w10_f1,ltr_m03_s05_f1,ltr_m03_s10_f1
NAB,ec2_cpu_utilization_24ae8d,0.42857142857142855,0.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_53ea38,0.8,0.0,0.6666666666666666,0.5,0.5,0.5,0.5
NAB,ec2_cpu_utilization_5f5533,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
NAB,ec2_cpu_utilization_77c1ca,1.0,0.0,1.0,0.8,0.6666666666666666,0.8,0.4
NAB,ec2_cpu_utilization_825cc2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.5,0.0,0.5,0.6666666666666666,0.0,0.6666666666666666,0.0
NAB,ec2_cpu_utilization_fe7f93,0.4,0.5,0.3333333333333333,0.5714285714285715,0.8,0.5714285714285715,0.8
NAB,ec2_disk_write_bytes_1ef3de,0.5,0.0,1.0,0.0,0.0,0.0,0.0
NAB,ec2_disk_write_bytes_c0d644,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_network_in_257a54,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.4,0.0,0.6666666666666666,0.4,0.0,0.0,0.0
NAB,elb_request_count_8c0756,0.5,0.0,0.8,0.5,0.4,0.5,0.4
NAB,grok_asg_anomaly,0.5,0.0,0.6666666666666666,0.8,0.8571428571428571,1.0,0.8571428571428571
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
NAB,rds_cpu_utilization_e47b3b,0.8,0.6666666666666666,0.8,0.8,0.8,0.8571428571428571,0.8
SMAP,D-1,0.6,0.0,0.6,0.6666666666666666,0.4,0.2857142857142857,0.4444444444444445
SMAP,E-1,0.4,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
SMAP,E-2,0.6666666666666666,0.0,0.33333333333333337,0.19999999999999998,0.2857142857142857,0.16666666666666669,0.25
SMAP,E-3,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
SMAP,E-4,0.6666666666666666,1.0,0.6,0.7142857142857143,0.8,0.7499999999999999,0.9090909090909091
SMAP,E-5,0.0,0.0,0.2222222222222222,0.0,0.0,0.19999999999999998,0.0
SMAP,E-6,1.0,0.0,1.0,0.4,0.6666666666666666,0.4,0.6666666666666666
SMAP,E-7,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAP,F-2,0.0,0.0,0.8571428571428571,0.923076923076923,0.6666666666666666,0.8333333333333333,0.6
SMAP,F-3,0.0,0.0,0.4,0.4,0.0,0.0,0.0
SMAP,P-1,0.6666666666666666,0.0,0.36363636363636365,0.5000000000000001,0.0,0.18181818181818182,0.0
SMAP,T-1,0.0,0.6666666666666666,0.32432432432432434,0.31578947368421056,0.28571428571428575,0.3529411764705882,0.3333333333333333
MSL,P-11,0.6666666666666666,0.0,0.5,0.4,0.5,0.5,0.5
MSL,T-12,0.6666666666666666,0.0,0.8,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
MSL,D-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,0.0,0.6666666666666666,0.4,0.4,0.4,0.4
MSL,F-8,0.4444444444444445,0.0,0.5,0.5,0.5714285714285715,0.5,0.5714285714285715
MSL,F-7,0.6666666666666666,0.0,0.28571428571428575,0.3333333333333333,0.3333333333333333,0.28571428571428575,0.4
MSL,T-13,0.4,0.6666666666666666,0.0,0.5,0.5,0.6666666666666666,0.5
MSL,D-16,0.8,0.0,1.0,1.0,1.0,1.0,0.8
MSL,T-8,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666
MSL,P-14,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
MSL,D-14,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
