dataset,encoder,layer,AUROC_patch,AP_patch,cohens_d,overlap_coef,F1_max_series,n_normal_patches,n_anomaly_patches
MSL,CLIP,1,0.6765501552051062,0.10515414168027992,0.5081040636674242,0.49512028655015616,0.25793692648423466,99638,7378
NAB,CLIP,1,0.5403996156144238,0.12201487189169491,0.11931952462693081,0.7014697029709746,0.20660455844648662,189210,23646
SMAP,CLIP,1,0.45916787785906976,0.11347739373753032,-0.08440462458608124,0.7495200477690939,0.21139380000939315,446138,59738
MSL,CLIP,4,0.630834603237153,0.08679922059239868,0.2923694325305393,0.7111953174465344,0.18285393822203472,99638,7378
NAB,CLIP,4,0.5394601947484983,0.11869959434901925,0.09728074605531664,0.8904320632245342,0.20924448245956243,189210,23646
SMAP,CLIP,4,0.49255749498333784,0.12294937366083176,0.005946908453834235,0.897827179231757,0.21510291486012315,446138,59738
MSL,CLIP,7,0.5339214864831563,0.07689098792867526,0.10330343882108704,0.9223025174659318,0.13826249373589455,99638,7378
NAB,CLIP,7,0.524087711427612,0.11637308817071595,0.06644998197341755,0.9346692843160123,0.20607253303323217,189210,23646
SMAP,CLIP,7,0.5324855999854625,0.1252314073812379,0.09861282460202551,0.9232543987918903,0.2192342980423547,446138,59738
MSL,CLIP,10,0.5041189571143174,0.07002079217721542,-0.00034137464208206663,0.9058077021173181,0.13343135453024227,99638,7378
NAB,CLIP,10,0.5174730962349304,0.11640418973021452,0.05299413615491387,0.9412076421315194,0.20442662855094126,189210,23646
SMAP,CLIP,10,0.5275000308910696,0.12545082333897603,0.09021266538362843,0.9195454382659061,0.21707234769629694,446138,59738
MSL,CLIP,12,0.4969888114791212,0.06899866490298232,-0.0984302820733237,0.8483570964206062,0.13137747974276004,99638,7378
NAB,CLIP,12,0.4937960766933537,0.11084997924956706,-0.03056899808206741,0.9092205839612829,0.20008550300723998,189210,23646
SMAP,CLIP,12,0.518380085770653,0.1235434090987263,0.03524352080701418,0.9069512238252487,0.21151090901961597,446138,59738
MSL,MAE,1,0.6872007121186666,0.10292503197434097,0.4546727183599463,0.4938619453606679,0.2531239489816589,99638,7378
NAB,MAE,1,0.5455804780216095,0.12380987507463227,0.11854400955795812,0.6689995532133142,0.2101881832459839,189210,23646
SMAP,MAE,1,0.4584309732495486,0.10803492631814923,-0.09856843277222956,0.7621560065325312,0.2112481543370081,446138,59738
MSL,MAE,4,0.6850687228346719,0.09979118290080168,0.4241426878602364,0.5192379023305557,0.22039935679512018,99638,7378
NAB,MAE,4,0.5469393682604581,0.12381395382296419,0.11734832532673314,0.6810837737149544,0.20994829603326,189210,23646
SMAP,MAE,4,0.4741609915147814,0.11184552416810471,-0.0803461475362512,0.7670700371704795,0.2171312506043028,446138,59738
MSL,MAE,7,0.6829485144735735,0.09973015960784593,0.4321530759633829,0.5750613405795242,0.2156205463776356,99638,7378
NAB,MAE,7,0.5516471691394478,0.12546730099282077,0.12724136226309046,0.7532134738053394,0.21225855753748502,189210,23646
SMAP,MAE,7,0.47742793850988197,0.11457530380228097,-0.06228708968388699,0.8679696022241091,0.21583419241728377,446138,59738
MSL,MAE,10,0.6925594261962922,0.10140775824983067,0.4711251791420788,0.5957836258373551,0.21308846550317517,99638,7378
NAB,MAE,10,0.5580249257337797,0.12736303069535848,0.14520815197321854,0.7931582604744248,0.21702085253718126,189210,23646
SMAP,MAE,10,0.4866644690611153,0.11631683477021337,-0.05037974399400461,0.8789881296258263,0.2201819589622422,446138,59738
MSL,MAE,12,0.6678297958261931,0.09185164404786693,0.35767265704565965,0.5843366881818638,0.21078412613346842,99638,7378
NAB,MAE,12,0.5500283256169185,0.12142314568689222,0.10806039364584988,0.8160475556535117,0.217178801153984,189210,23646
SMAP,MAE,12,0.49185950760958685,0.11856451314832461,-0.023262576618960116,0.875066131547411,0.22275031564793524,446138,59738
MSL,DINOv2,1,0.6718339407452577,0.10445695165054643,0.5989836999759813,0.43099833031728296,0.2740401706359977,130256,9520
NAB,DINOv2,1,0.5359974163545682,0.12227493799208007,0.12353886743887896,0.6233045508763619,0.20034958568697073,247312,30704
SMAP,DINOv2,1,0.45664204768784455,0.10820754233508514,-0.1108356386408438,0.6690569198344518,0.21121140091054114,582720,78016
MSL,DINOv2,4,0.6634743583321118,0.0934609741218784,0.39558909829961847,0.614354835494933,0.21690748529455048,130256,9520
NAB,DINOv2,4,0.5463054122042136,0.12177018839942032,0.11383950504515188,0.8584780600688928,0.20977032183718716,247312,30704
SMAP,DINOv2,4,0.48128726705265246,0.11775484719785542,-0.029581892193058543,0.9056902123805108,0.21474609141505194,582720,78016
MSL,DINOv2,7,0.6521216143110297,0.09088878612918937,0.43537458692955905,0.6904821912396126,0.18668558590496753,130256,9520
NAB,DINOv2,7,0.5541354688734693,0.1273876516650195,0.16187071403918754,0.9027124242739006,0.21213384856295037,247312,30704
