======================================================================
Local Temporal Reference — NAB-AWS
backbones: MAE
alpha(detection)=0.01
======================================================================
Backbone      k=5     k=10     k=20   global  Best k
----------------------------------------------------
MAE        0.6272   0.5605   0.3961   0.3697  k=5
----------------------------------------------------

[MAE] per-signal:
  Signal                                      k=5     k=10     k=20   global
  --------------------------------------------------------------------------
  ec2_cpu_utilization_24ae8d               0.4286   0.4286   0.4286   0.4286
  ec2_cpu_utilization_53ea38               0.8000   0.8000   0.8000   0.8000
  ec2_cpu_utilization_5f5533               0.6667   0.6667   0.5000   0.4000
  ec2_cpu_utilization_77c1ca               1.0000   0.6667   0.0000   0.0000
  ec2_cpu_utilization_825cc2               1.0000   1.0000   1.0000   1.0000
  ec2_cpu_utilization_ac20cd               0.5000   0.0000   0.0000   0.0000
  ec2_cpu_utilization_c6585a               0.0000   0.0000   0.0000   0.0000
  ec2_cpu_utilization_fe7f93               0.4000   0.4000   0.0000   0.0000
  ec2_disk_write_bytes_1ef3de              0.5000   0.5000   0.3333   0.4000
  ec2_disk_write_bytes_c0d644              0.5000   0.5000   0.4000   0.4000
  ec2_network_in_257a54                    1.0000   1.0000   1.0000   1.0000
  ec2_network_in_5abac7                    0.4000   0.3333   0.5714   0.5714
  elb_request_count_8c0756                 0.5000   0.4000   0.4000   0.2857
  grok_asg_anomaly                         0.5000   0.5000   0.4000   0.0000
  iio_us-east-1_i-a2eb1cd9_NetworkIn       0.6667   0.6667   0.5000   0.5000
  rds_cpu_utilization_cc0c53               1.0000   0.6667   0.4000   0.5000
  rds_cpu_utilization_e47b3b               0.8000   1.0000   0.0000   0.0000

Results: C:\Users\김나영\Desktop\TSAD\VLM4TS\results\nab_aws_local_ref\results.json
