======================================================================
EWMA Smoothing Sweep — NAB-AWS
backbones: MAE
alpha(detection)=0.01
======================================================================
Backbone          α=0.1    α=0.3    α=0.5    α=0.7    α=1.0  Best α
-------------------------------------------------------------------
MAE              0.5282   0.5331   0.4409   0.4297   0.3529  α=0.3
-------------------------------------------------------------------

[MAE] per-signal F1:
  --------------------------------------------------------------------------------
  Signal                                 α=0.1    α=0.3    α=0.5    α=0.7    α=1.0
  ec2_cpu_utilization_24ae8d            0.2857   0.2857   0.2667   0.2667   0.4286
  ec2_cpu_utilization_53ea38            0.6667   0.6667   0.8571   1.0000   0.8000
  ec2_cpu_utilization_5f5533            1.0000   1.0000   1.0000   1.0000   0.4000
  ec2_cpu_utilization_77c1ca            0.0000   0.6667   0.0000   0.0000   0.0000
  ec2_cpu_utilization_825cc2            0.6667   0.8000   1.0000   1.0000   1.0000
  ec2_cpu_utilization_ac20cd            0.5000   0.6667   0.0000   0.0000   0.0000
  ec2_cpu_utilization_c6585a            0.0000   0.0000   0.0000   0.0000   0.0000
  ec2_cpu_utilization_fe7f93            0.0000   0.0000   0.0000   0.0000   0.0000
  ec2_disk_write_bytes_1ef3de           0.4000   0.5000   0.4000   0.3333   0.4000
  ec2_disk_write_bytes_c0d644           0.4000   0.5714   0.6667   0.4000   0.4000
  ec2_network_in_257a54                 1.0000   1.0000   1.0000   1.0000   1.0000
  ec2_network_in_5abac7                 1.0000   0.5714   0.5714   0.5714   0.5714
  elb_request_count_8c0756              0.8000   0.5000   0.4000   0.4000   0.3333
  grok_asg_anomaly                      0.4444   0.0000   0.0000   0.0000   0.0000
  iio_us-east-1_i-a2eb1cd9_NetworkIn    0.4000   0.5000   0.6667   0.6667   0.6667
  rds_cpu_utilization_cc0c53            0.6667   0.6667   0.0000   0.0000   0.0000
  rds_cpu_utilization_e47b3b            0.7500   0.6667   0.6667   0.6667   0.0000

Results: C:\Users\김나영\Desktop\TSAD\VLM4TS\results\nab_aws_smoothing\results.json
