channel,n_points,n_vit_proposals,has_gt,precision_static,recall_static,f1_static,precision_dynamic,recall_dynamic,f1_dynamic,delta,tokens_static,tokens_dynamic
T-12,3575,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774,1548
D-15,4232,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774,1548
C-1,4422,2,True,0.3333333333333333,0.5,0.4,1.0,0.5,0.6666666666666666,0.2666666666666666,774,1548
F-8,5829,4,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,774,1548
F-7,7565,4,True,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.33333333333333337,774,1548
T-13,3575,4,True,0.5,0.5,0.5,0.3333333333333333,0.5,0.4,-0.09999999999999998,774,1548
D-16,3642,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774,1548
T-8,2267,2,True,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,-0.33333333333333337,774,1548
P-14,8980,4,True,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,-0.5,774,1548
D-14,6300,3,True,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,-0.33333333333333337,774,1548
