dataset,signal,adf_nonstationary,baseline_f1,add_f1,mahal_f1,local_k30_f1,adaptive_adf_f1,adaptive_local_f1,adaptive_max_f1
NAB,ec2_cpu_utilization_24ae8d,False,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_53ea38,False,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
NAB,ec2_cpu_utilization_5f5533,True,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
NAB,ec2_cpu_utilization_77c1ca,False,1.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666
NAB,ec2_cpu_utilization_825cc2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,True,0.5,0.6666666666666666,1.0,0.0,1.0,0.0,1.0
NAB,ec2_cpu_utilization_fe7f93,False,0.4,0.3333333333333333,0.0,0.4,0.3333333333333333,0.3333333333333333,0.0
NAB,ec2_disk_write_bytes_1ef3de,False,0.5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
NAB,ec2_disk_write_bytes_c0d644,False,0.5,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8
NAB,ec2_network_in_257a54,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,False,0.4,0.5,0.0,0.0,0.5,0.5,0.5
NAB,elb_request_count_8c0756,False,0.5,1.0,0.6666666666666666,0.0,1.0,1.0,1.0
NAB,grok_asg_anomaly,True,0.5,0.6666666666666666,0.5,0.4,0.5,0.4,0.5
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,False,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,True,1.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666
NAB,rds_cpu_utilization_e47b3b,True,0.8,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
SMAP,D-1,True,0.6,0.7499999999999999,1.0,0.8750000000000001,1.0,0.8750000000000001,1.0
SMAP,E-1,False,0.4,0.5333333333333333,0.8,0.8571428571428571,0.5333333333333333,0.5333333333333333,0.6666666666666665
SMAP,E-2,False,0.6666666666666666,0.5454545454545454,1.0,1.0,0.5454545454545454,0.5454545454545454,1.0
SMAP,E-3,False,0.0,0.4444444444444445,1.0,0.6666666666666666,0.4444444444444445,0.4444444444444445,0.4
SMAP,E-4,False,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,0.5,0.5,0.8
SMAP,E-5,False,0.0,0.2222222222222222,0.0,0.5,0.2222222222222222,0.2222222222222222,0.0
SMAP,E-6,False,1.0,1.0,1.0,0.15384615384615385,1.0,1.0,1.0
SMAP,E-7,False,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0
SMAP,F-1,False,0.0,0.0,1.0,1.0,0.0,0.0,0.4
SMAP,F-2,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-3,True,0.0,0.0,0.0,0.4,0.0,0.4,0.0
SMAP,P-1,False,0.6666666666666666,0.6666666666666667,0.8,1.0,0.6666666666666667,0.6666666666666667,0.8
SMAP,T-1,False,0.0,0.19354838709677416,0.6666666666666666,0.3870967741935483,0.19354838709677416,0.19354838709677416,0.35294117647058826
MSL,P-11,False,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.4,0.4,0.8
MSL,T-12,False,0.6666666666666666,0.8,1.0,0.33333333333333337,0.8,0.8,1.0
MSL,D-15,False,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666
MSL,C-1,False,0.6666666666666666,0.6666666666666666,0.0,0.4,0.6666666666666666,0.6666666666666666,0.5714285714285715
MSL,F-8,False,0.4444444444444445,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
MSL,F-7,False,0.6666666666666666,0.3333333333333333,0.4,0.28571428571428575,0.3333333333333333,0.3333333333333333,0.4
MSL,T-13,True,0.4,0.0,0.0,0.4,0.0,0.4,0.0
MSL,D-16,True,0.8,0.0,0.0,0.0,0.0,0.0,0.0
MSL,T-8,False,1.0,1.0,0.0,1.0,1.0,1.0,0.0
MSL,P-14,True,0.6666666666666666,1.0,1.0,0.5,1.0,0.5,1.0
MSL,D-14,False,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.6666666666666666
