dataset,signal,ltr_add_f1,bltr5_f1,bltr5_30_f1,raw_bi_f1,bltr_full_f1
NAB,ec2_cpu_utilization_24ae8d,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
NAB,ec2_cpu_utilization_53ea38,1.0,0.8,1.0,0.8,1.0
NAB,ec2_cpu_utilization_5f5533,0.8,0.8,0.8,0.8,0.8
NAB,ec2_cpu_utilization_77c1ca,1.0,0.8,1.0,0.8,1.0
NAB,ec2_cpu_utilization_825cc2,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.6666666666666666,0.4,1.0,0.6666666666666666,0.5
NAB,ec2_cpu_utilization_fe7f93,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
NAB,ec2_disk_write_bytes_1ef3de,1.0,1.0,1.0,1.0,1.0
NAB,ec2_disk_write_bytes_c0d644,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.5714285714285715,0.6666666666666666
NAB,ec2_network_in_257a54,1.0,1.0,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.5,0.5,0.5,0.5,0.5
NAB,elb_request_count_8c0756,1.0,0.8,0.8,0.8,0.8
NAB,grok_asg_anomaly,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.0,0.0,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8
NAB,rds_cpu_utilization_e47b3b,1.0,1.0,1.0,1.0,1.0
SMAP,D-1,0.7499999999999999,0.6666666666666666,0.6666666666666666,0.7499999999999999,0.7499999999999999
SMAP,E-1,0.5333333333333333,0.5,0.5000000000000001,0.5,0.5333333333333333
SMAP,E-2,0.5454545454545454,0.5,0.6153846153846153,0.5,0.5454545454545454
SMAP,E-3,0.4444444444444445,0.4444444444444445,0.5,0.4444444444444445,0.4444444444444445
SMAP,E-4,0.5,0.5714285714285715,0.4444444444444445,0.4,0.5
SMAP,E-5,0.2222222222222222,0.0,0.16666666666666669,0.0,0.2222222222222222
SMAP,E-6,1.0,1.0,1.0,1.0,1.0
SMAP,E-7,1.0,1.0,1.0,1.0,1.0
SMAP,F-1,0.0,0.0,0.0,0.0,0.0
SMAP,F-2,1.0,1.0,1.0,0.888888888888889,1.0
SMAP,F-3,0.0,0.25,0.0,0.25,0.0
SMAP,P-1,0.6666666666666667,0.5,0.625,0.5,0.5714285714285714
SMAP,T-1,0.1935483870967741,0.18181818181818182,0.19354838709677416,0.18181818181818182,0.19354838709677416
MSL,P-11,0.4,0.4,0.4,0.4,0.4
MSL,T-12,0.8,0.8,0.8,0.8,0.8
MSL,D-15,0.0,0.0,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666
MSL,F-8,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5714285714285715
MSL,F-7,0.3333333333333333,0.28571428571428575,0.3333333333333333,0.28571428571428575,0.3333333333333333
MSL,T-13,0.0,0.0,0.0,0.0,0.0
MSL,D-16,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
MSL,T-8,1.0,1.0,1.0,1.0,1.0
MSL,P-14,1.0,1.0,1.0,1.0,1.0
MSL,D-14,1.0,1.0,1.0,1.0,1.0
