dataset,signal,N,mae_baseline_f1,l2_mean,mahal
NAB,ec2_cpu_utilization_24ae8d,56,0.4286,0.0000,0.0000
NAB,ec2_cpu_utilization_53ea38,56,0.8000,0.0000,0.0000
NAB,ec2_cpu_utilization_5f5533,56,0.6667,0.0000,0.0000
NAB,ec2_cpu_utilization_77c1ca,56,1.0000,0.0000,0.0000
NAB,ec2_cpu_utilization_825cc2,56,1.0000,1.0000,0.0000
NAB,ec2_cpu_utilization_ac20cd,56,0.5000,1.0000,0.0000
NAB,ec2_cpu_utilization_fe7f93,54,0.4000,0.0000,0.0000
NAB,ec2_disk_write_bytes_1ef3de,66,0.5000,0.0000,0.0000
NAB,ec2_disk_write_bytes_c0d644,56,0.5000,0.0000,0.0000
NAB,ec2_network_in_257a54,56,1.0000,1.0000,0.0000
NAB,ec2_network_in_5abac7,66,0.4000,0.0000,0.0000
NAB,elb_request_count_8c0756,56,0.5000,0.6667,0.0000
NAB,grok_asg_anomaly,65,0.5000,0.0000,0.5000
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,12,0.6667,0.6667,0.0000
NAB,rds_cpu_utilization_cc0c53,56,1.0000,0.0000,0.0000
NAB,rds_cpu_utilization_e47b3b,56,0.8000,0.0000,0.0000
SMAP,D-1,170,0.6000,1.0000,1.0000
SMAP,E-1,171,0.4000,0.6667,0.5000
SMAP,E-2,171,0.6667,0.0000,0.0000
SMAP,E-3,167,0.0000,0.0000,0.5000
SMAP,E-4,168,0.6667,0.6667,0.0000
SMAP,E-5,167,0.0000,0.0000,0.0000
SMAP,E-6,167,1.0000,0.6667,0.0000
SMAP,E-7,166,1.0000,1.0000,0.0000
SMAP,F-1,171,0.0000,0.0000,0.0000
SMAP,F-2,172,0.0000,1.0000,1.0000
SMAP,F-3,168,0.0000,0.0000,0.0000
SMAP,P-1,170,0.6667,0.5000,0.8000
SMAP,T-1,172,0.0000,0.0000,0.0000
MSL,P-11,110,0.6667,0.0000,0.0000
MSL,T-12,48,0.6667,0.0000,0.0000
MSL,D-15,59,0.0000,0.0000,0.0000
MSL,C-1,62,0.6667,0.0000,0.0000
MSL,F-8,84,0.4444,0.0000,0.0000
MSL,F-7,111,0.6667,0.0000,0.0000
MSL,T-13,48,0.4000,0.0000,0.0000
MSL,D-16,49,0.8000,0.0000,0.0000
MSL,T-8,28,1.0000,0.0000,0.0000
MSL,P-14,133,0.6667,0.6667,0.0000
MSL,D-14,91,1.0000,0.0000,0.0000
SUMMARY,NAB,,0.6664,0.2708,0.0312
SUMMARY,SMAP,,0.3846,0.4231,0.2923
SUMMARY,MSL,,0.6343,0.0606,0.0000
SUMMARY,ALL,,0.5660,0.2625,0.1075
