dataset,signal,baseline_f1,add_base_f1,k5_fixed_f1,k30_fixed_f1,add_fixed_f1
NAB,ec2_cpu_utilization_24ae8d,0.42857142857142855,,0.0,0.0,0.0
NAB,ec2_cpu_utilization_53ea38,0.8,,1.0,1.0,1.0
NAB,ec2_cpu_utilization_5f5533,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.8571428571428571
NAB,ec2_cpu_utilization_77c1ca,1.0,,0.8,0.0,0.5
NAB,ec2_cpu_utilization_825cc2,1.0,,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.5,,0.0,0.0,0.0
NAB,ec2_cpu_utilization_fe7f93,0.4,,0.0,0.4,0.0
NAB,ec2_disk_write_bytes_1ef3de,0.5,,1.0,1.0,1.0
NAB,ec2_disk_write_bytes_c0d644,0.5,,0.5714285714285715,0.3333333333333333,0.5714285714285715
NAB,ec2_network_in_257a54,1.0,,0.0,0.0,0.0
NAB,ec2_network_in_5abac7,0.4,,0.0,0.0,0.0
NAB,elb_request_count_8c0756,0.5,,0.0,0.0,0.0
NAB,grok_asg_anomaly,0.5,,0.0,0.4,0.0
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6666666666666666,,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,,0.6666666666666666,0.8,0.6666666666666666
NAB,rds_cpu_utilization_e47b3b,0.8,,0.0,0.5,0.4
SMAP,D-1,0.6,,0.9090909090909091,0.8750000000000001,0.8235294117647058
SMAP,E-1,0.4,,0.923076923076923,0.8571428571428571,0.888888888888889
SMAP,E-2,0.6666666666666666,,0.6153846153846153,1.0,0.9090909090909091
SMAP,E-3,0.0,,0.7272727272727273,0.6666666666666666,0.7692307692307693
SMAP,E-4,0.6666666666666666,,0.4444444444444445,0.5714285714285715,0.4
SMAP,E-5,0.0,,0.375,0.5,0.3076923076923077
SMAP,E-6,1.0,,0.0,0.15384615384615385,0.11764705882352941
SMAP,E-7,1.0,,0.0,0.8571428571428571,0.4444444444444445
SMAP,F-1,0.0,,0.5,1.0,0.6666666666666666
SMAP,F-2,0.0,,1.0,1.0,1.0
SMAP,F-3,0.0,,0.2857142857142857,0.4,0.4444444444444445
SMAP,P-1,0.6666666666666666,,0.6666666666666665,1.0,1.0
SMAP,T-1,0.0,,0.27586206896551724,0.3870967741935483,0.22222222222222218
MSL,P-11,0.6666666666666666,,0.25,0.3333333333333333,0.3333333333333333
MSL,T-12,0.6666666666666666,,0.0,0.33333333333333337,0.0
MSL,D-15,0.0,,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,,0.5,0.4,0.4
MSL,F-8,0.4444444444444445,,0.5,0.0,0.5
MSL,F-7,0.6666666666666666,,0.2222222222222222,0.28571428571428575,0.3333333333333333
MSL,T-13,0.4,,0.3333333333333333,0.4,0.3333333333333333
MSL,D-16,0.8,,0.0,0.0,0.0
MSL,T-8,1.0,,1.0,1.0,1.0
MSL,P-14,0.6666666666666666,,0.2857142857142857,0.5,0.4444444444444445
MSL,D-14,1.0,,0.6666666666666666,0.8571428571428571,0.8
