dataset,signal,baseline_f1,signal_b_f1,mgmr_f1
NAB,ec2_cpu_utilization_24ae8d,0.5714285714285715,0.0,0.5714285714285715
NAB,ec2_cpu_utilization_53ea38,1.0,0.0,1.0
NAB,ec2_cpu_utilization_5f5533,0.5,0.6666666666666666,0.5
NAB,ec2_cpu_utilization_77c1ca,0.5,0.0,0.5
NAB,ec2_cpu_utilization_825cc2,1.0,0.5,1.0
NAB,ec2_cpu_utilization_ac20cd,0.0,0.4,0.0
NAB,ec2_cpu_utilization_fe7f93,0.3333333333333333,0.0,0.3333333333333333
NAB,ec2_disk_write_bytes_1ef3de,1.0,0.0,1.0
NAB,ec2_disk_write_bytes_c0d644,0.4,0.0,0.4
NAB,ec2_network_in_257a54,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.6666666666666666,0.0,0.6666666666666666
NAB,elb_request_count_8c0756,0.8,0.6666666666666666,0.8
NAB,grok_asg_anomaly,0.3333333333333333,0.0,0.3333333333333333
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,0.7499999999999999,0.6666666666666666,0.7499999999999999
NAB,rds_cpu_utilization_e47b3b,1.0,0.6666666666666666,1.0
SMAP,D-1,0.16666666666666669,0.6666666666666666,0.16666666666666669
SMAP,E-1,0.39999999999999997,0.4,0.39999999999999997
SMAP,E-2,0.4615384615384615,0.25,0.4615384615384615
SMAP,E-3,0.0,0.5,0.0
SMAP,E-4,0.3636363636363636,0.0,0.3636363636363636
SMAP,E-5,0.19999999999999998,0.5,0.19999999999999998
SMAP,E-6,1.0,0.0,1.0
SMAP,E-7,1.0,0.0,1.0
SMAP,F-1,0.0,1.0,0.0
SMAP,F-2,0.19999999999999998,0.5,0.19999999999999998
SMAP,F-3,0.0,0.0,0.0
SMAP,P-1,0.923076923076923,0.2222222222222222,0.923076923076923
SMAP,T-1,0.19999999999999998,0.6666666666666666,0.19999999999999998
MSL,P-11,0.6666666666666666,0.5,0.6666666666666666
MSL,T-12,0.8,0.0,0.8
MSL,D-15,0.4,0.0,0.4
MSL,C-1,0.6666666666666666,0.5,0.6666666666666666
MSL,F-8,0.6666666666666666,0.5,0.6666666666666666
MSL,F-7,0.4,0.0,0.4
MSL,T-13,0.0,0.0,0.0
MSL,D-16,0.6666666666666666,0.0,0.6666666666666666
MSL,T-8,1.0,0.0,1.0
MSL,P-14,1.0,0.4,1.0
MSL,D-14,0.8571428571428571,1.0,0.8571428571428571
