dataset,signal,cosine_f1,cosine_prec,cosine_rec,recon_f1,recon_prec,recon_rec,delta_f1,winner,t_cosine,t_recon
NAB,ec2_cpu_utilization_24ae8d,0.42857142857142855,0.2727272727272727,1.0,0.0,0.0,0.0,-0.42857142857142855,COSINE,9.2,7.5
NAB,ec2_cpu_utilization_53ea38,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,-0.8,COSINE,9.2,7.9
NAB,ec2_cpu_utilization_5f5533,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,-0.4,COSINE,8.2,7.8
NAB,ec2_cpu_utilization_77c1ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,8.2,8.8
NAB,ec2_cpu_utilization_825cc2,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,COSINE,9.3,7.9
NAB,ec2_cpu_utilization_ac20cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,8.9,8.2
NAB,ec2_cpu_utilization_fe7f93,0.0,0.0,0.0,0.5,0.42857142857142855,0.6,0.5,RECON,8.6,8.3
NAB,ec2_disk_write_bytes_1ef3de,0.4,0.25,1.0,0.8571428571428571,0.75,1.0,0.4571428571428571,RECON,10.7,10.5
NAB,ec2_disk_write_bytes_c0d644,0.4,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.06666666666666671,COSINE,8.8,8.9
NAB,ec2_network_in_257a54,1.0,1.0,1.0,0.5714285714285715,0.4,1.0,-0.4285714285714285,COSINE,8.6,8.8
NAB,ec2_network_in_5abac7,0.5714285714285715,0.4,1.0,0.0,0.0,0.0,-0.5714285714285715,COSINE,11.2,10.1
NAB,elb_request_count_8c0756,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,-0.3333333333333333,COSINE,9.4,8.7
NAB,grok_asg_anomaly,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,RECON,9.1,10.3
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6666666666666666,1.0,0.5,0.8,1.0,0.6666666666666666,0.13333333333333341,RECON,2.3,2.7
NAB,rds_cpu_utilization_cc0c53,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,RECON,9.1,8.6
NAB,rds_cpu_utilization_e47b3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,8.2,8.8
SMAP,D-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,31.7,21.6
SMAP,E-1,0.36363636363636365,0.25,0.6666666666666666,0.0,0.0,0.0,-0.36363636363636365,COSINE,31.1,21.5
SMAP,E-2,0.5714285714285715,0.4,1.0,0.5714285714285715,0.4,1.0,0.0,TIE,31.1,21.7
SMAP,E-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,31.1,20.7
SMAP,F-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,34.0,21.5
SMAP,F-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,32.4,20.9
SMAP,T-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIE,33.8,22.0
MSL,P-11,0.6666666666666666,0.5,1.0,0.3636363636363636,0.2222222222222222,1.0,-0.30303030303030304,COSINE,18.7,14.9
