dataset,signal,add_ms_f1,rowa_w01_f1,rowa_w02_f1,rowa_w03_f1,rowa_w05_f1,std_add_w03_f1
NAB,ec2_cpu_utilization_24ae8d,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
NAB,ec2_cpu_utilization_53ea38,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_5f5533,0.8,0.8,0.8,0.8,0.8,0.8
NAB,ec2_cpu_utilization_77c1ca,1.0,1.0,0.8,1.0,1.0,0.8
NAB,ec2_cpu_utilization_825cc2,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_fe7f93,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
NAB,ec2_disk_write_bytes_1ef3de,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_disk_write_bytes_c0d644,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_network_in_257a54,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_network_in_5abac7,0.5,0.5,0.5,0.5,0.5,0.6666666666666666
NAB,elb_request_count_8c0756,1.0,1.0,1.0,1.0,0.8,0.8
NAB,grok_asg_anomaly,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8571428571428571
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.0,0.0,0.0,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,1.0,1.0,1.0,1.0,1.0
NAB,rds_cpu_utilization_e47b3b,1.0,0.8,0.8,0.8,0.8,0.8
SMAP,D-1,0.7499999999999999,0.6666666666666666,0.6,0.5,0.2857142857142857,0.6
SMAP,E-1,0.5333333333333333,0.5000000000000001,0.5000000000000001,0.4444444444444444,0.3333333333333333,0.4444444444444444
SMAP,E-2,0.5454545454545454,0.6666666666666666,0.6153846153846153,0.5454545454545454,0.7499999999999999,0.5714285714285715
SMAP,E-3,0.4444444444444445,0.4,0.4444444444444445,0.33333333333333337,0.2857142857142857,0.25
SMAP,E-4,0.5,0.7272727272727273,0.7272727272727273,0.7499999999999999,0.888888888888889,0.8
SMAP,E-5,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.2222222222222222
SMAP,E-6,1.0,1.0,1.0,1.0,1.0,1.0
SMAP,E-7,1.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-1,0.0,0.0,0.0,0.0,0.0,0.0
SMAP,F-2,1.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-3,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
SMAP,P-1,0.6666666666666667,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5,0.5
SMAP,T-1,0.19354838709677416,0.19354838709677416,0.19354838709677416,0.2285714285714286,0.2222222222222222,0.2285714285714286
MSL,P-11,0.4,0.4,0.4,0.4,0.5,0.5
MSL,T-12,0.8,0.8,0.8,0.8,0.8,0.8
MSL,D-15,0.0,0.0,0.0,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.888888888888889,0.6666666666666666
MSL,F-8,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.5
MSL,F-7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.28571428571428575
MSL,T-13,0.0,0.0,0.0,0.0,0.0,0.0
MSL,D-16,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
MSL,T-8,1.0,1.0,1.0,1.0,1.0,1.0
MSL,P-14,1.0,1.0,1.0,1.0,1.0,1.0
MSL,D-14,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
