dataset,signal,baseline_f1,best_f1,mahal_f1,stl_mahal_f1,max_stl_k5_f1,max_stl_best_f1
NAB,ec2_cpu_utilization_24ae8d,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_53ea38,0.8,1.0,0.6666666666666666,0.6666666666666666,0.8,0.8
NAB,ec2_cpu_utilization_5f5533,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0,1.0
NAB,ec2_cpu_utilization_77c1ca,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_825cc2,1.0,1.0,1.0,1.0,1.0,1.0
NAB,ec2_cpu_utilization_ac20cd,0.5,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666
NAB,ec2_cpu_utilization_fe7f93,0.4,0.3333333333333333,0.0,0.5,0.4,0.4
NAB,ec2_disk_write_bytes_1ef3de,0.5,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666
NAB,ec2_disk_write_bytes_c0d644,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
NAB,ec2_network_in_257a54,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666
NAB,ec2_network_in_5abac7,0.4,0.5,0.0,0.0,0.5,0.5
NAB,elb_request_count_8c0756,0.5,1.0,0.6666666666666666,0.0,0.5,0.5
NAB,grok_asg_anomaly,0.5,0.6666666666666666,0.5,0.0,0.4,0.4
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
NAB,rds_cpu_utilization_cc0c53,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
NAB,rds_cpu_utilization_e47b3b,0.8,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SMAP,D-1,0.6,0.7499999999999999,1.0,1.0,1.0,1.0
SMAP,E-1,0.4,0.5333333333333333,0.8,0.0,0.5,0.5
SMAP,E-2,0.6666666666666666,0.5454545454545454,1.0,0.0,0.6666666666666666,0.6666666666666666
SMAP,E-3,0.0,0.4444444444444445,1.0,0.0,0.0,0.0
SMAP,E-4,0.6666666666666666,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
SMAP,E-5,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
SMAP,E-6,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666
SMAP,E-7,1.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-1,0.0,0.0,1.0,0.0,0.0,0.0
SMAP,F-2,0.0,1.0,1.0,1.0,1.0,1.0
SMAP,F-3,0.0,0.0,0.0,0.0,0.0,0.0
SMAP,P-1,0.6666666666666666,0.6666666666666667,0.8,0.5,0.6666666666666666,0.8
SMAP,T-1,0.0,0.19354838709677416,0.6666666666666666,0.6666666666666666,0.4,0.5
MSL,P-11,0.6666666666666666,0.4,0.6666666666666666,1.0,0.6666666666666666,1.0
MSL,T-12,0.6666666666666666,0.8,1.0,0.0,0.0,0.6666666666666666
MSL,D-15,0.0,0.0,1.0,0.0,0.0,0.0
MSL,C-1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0
MSL,F-8,0.4444444444444445,0.6666666666666666,0.0,0.0,0.5,0.6666666666666666
MSL,F-7,0.6666666666666666,0.3333333333333333,0.4,0.0,0.0,0.0
MSL,T-13,0.4,0.0,0.0,0.0,0.0,0.0
MSL,D-16,0.8,0.0,0.0,0.0,0.6666666666666666,0.0
MSL,T-8,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
MSL,P-14,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
MSL,D-14,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
