case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,delta_midcls,delta_attn
NA0_LAG10_000,NA0_LAG10,0,10,2,1,unrelated,,,0.0002887845039367676,0.21081626415252686
NA0_LAG10_000,NA0_LAG10,0,10,2,3,unrelated,,,-0.0006175041198730469,0.21443963050842285
NA0_LAG10_000,NA0_LAG10,0,10,2,4,unrelated,,,-9.429454803466797e-05,0.21170896291732788
NA0_LAG10_000,NA0_LAG10,0,10,2,5,unrelated,,,-0.00044029951095581055,0.20761042833328247
NA0_LAG10_000,NA0_LAG10,0,10,2,6,unrelated,,,-0.0008800029754638672,0.2261430025100708
NA0_LAG10_001,NA0_LAG10,0,10,6,1,unrelated,,,-0.0006146430969238281,0.06908535957336426
NA0_LAG10_001,NA0_LAG10,0,10,6,2,unrelated,,,-0.0007900595664978027,0.04118490219116211
NA0_LAG10_001,NA0_LAG10,0,10,6,3,unrelated,,,0.0007725954055786133,0.05142009258270264
NA0_LAG10_001,NA0_LAG10,0,10,6,4,unrelated,,,-0.000643610954284668,0.06122863292694092
NA0_LAG10_001,NA0_LAG10,0,10,6,5,unrelated,,,-0.0005818605422973633,0.03880965709686279
NA0_LAG10_002,NA0_LAG10,0,10,4,1,unrelated,,,0.04556262493133545,0.14702296257019043
NA0_LAG10_002,NA0_LAG10,0,10,4,2,unrelated,,,0.0430261492729187,0.132279634475708
NA0_LAG10_002,NA0_LAG10,0,10,4,3,unrelated,,,0.04230242967605591,0.12935149669647217
NA0_LAG10_002,NA0_LAG10,0,10,4,5,unrelated,,,0.043803632259368896,0.1863606572151184
NA0_LAG10_002,NA0_LAG10,0,10,4,6,unrelated,,,0.04140019416809082,0.13209229707717896
NA0_LAG10_003,NA0_LAG10,0,10,2,1,unrelated,,,0.00263369083404541,0.005490660667419434
NA0_LAG10_003,NA0_LAG10,0,10,2,3,unrelated,,,0.0021036267280578613,-0.0016736388206481934
NA0_LAG10_003,NA0_LAG10,0,10,2,4,unrelated,,,0.0043448805809021,0.008636415004730225
NA0_LAG10_003,NA0_LAG10,0,10,2,5,unrelated,,,0.0018616318702697754,0.009675145149230957
NA0_LAG10_003,NA0_LAG10,0,10,2,6,unrelated,,,0.004449605941772461,-0.0050122737884521484
NA0_LAG10_004,NA0_LAG10,0,10,5,1,unrelated,,,0.0030536651611328125,0.010531961917877197
NA0_LAG10_004,NA0_LAG10,0,10,5,2,unrelated,,,9.894371032714844e-06,0.0033025145530700684
NA0_LAG10_004,NA0_LAG10,0,10,5,3,unrelated,,,0.0025128722190856934,0.006865143775939941
NA0_LAG10_004,NA0_LAG10,0,10,5,4,unrelated,,,0.0034561753273010254,0.0002815723419189453
NA0_LAG10_004,NA0_LAG10,0,10,5,6,unrelated,,,0.000976860523223877,0.003575146198272705
NA0_LAG10_005,NA0_LAG10,0,10,3,1,unrelated,,,0.0024958252906799316,0.009764611721038818
NA0_LAG10_005,NA0_LAG10,0,10,3,2,unrelated,,,0.001623690128326416,0.004866540431976318
NA0_LAG10_005,NA0_LAG10,0,10,3,4,unrelated,,,0.0020809173583984375,0.010335683822631836
NA0_LAG10_005,NA0_LAG10,0,10,3,5,unrelated,,,0.0024604201316833496,0.013712048530578613
NA0_LAG10_005,NA0_LAG10,0,10,3,6,unrelated,,,0.0016368627548217773,0.0045882463455200195
NA0_LAG10_006,NA0_LAG10,0,10,4,1,unrelated,,,0.06094527244567871,0.15978455543518066
