case_id,scenario,n_affected,lag,channel,true_role,sub_role,break_type,homogeneous,pred_role,correct,parse_status
NA0_LAG10_000,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
