case_id,scenario,n_affected,lag,vis_condition,channel,true_role,sub_role,break_type,homogeneous,pred_role,correct,parse_status
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
