dataset,signal_id,model,f1_max,f1_alpha,f1_01,f1_001,f1_0001,precision,recall,affi_f1,affi_precision,affi_recall,status,timestamp
SMAP,A-1,ViT4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:10:42.382640
SMAP,A-1,VLM4TS,,,,,,,,,,,error: No module named 'dotenv',2026-04-06T17:10:42.411663
SMAP,A-1,LLM-TSAD,,,,,,,,,,,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-JGkqxDFrsKpm255Yu75aJzLs on tokens per min (TPM): Limit 30000, Used 24298, Requested 7154. Please try again in 2.904s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",2026-04-06T17:11:43.938299
SMAP,A-1,VLM4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:17:25.779487
SMAP,A-1,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.2515,0.251,0.252,ok,2026-04-06T17:19:47.628162
SMAP,A-1,ViT4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:26:56.283809
SMAP,A-1,VLM4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:27:13.651614
SMAP,A-1,ViT4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:31:38.470384
SMAP,A-1,VLM4TS,0.5167,0.001,0.3704,0.4509,0.5167,0.3484,1.0,0.9931,0.9863,1.0,ok,2026-04-06T17:31:57.666152
SMAP,A-1,LLM-TSAD,0.0183,fixed,0.0183,0.0183,0.0183,0.0417,0.0118,0.4398,0.2822,0.9957,ok,2026-04-06T17:34:07.392855
SMAP,A-2,ViT4TS,0.7491,0.01,0.1655,0.7491,0.549,0.6163,0.955,0.9638,0.9301,1.0,ok,2026-04-06T17:37:33.674142
SMAP,A-2,VLM4TS,0.7626,0.01,0.2615,0.7626,0.549,0.6347,0.955,0.9718,0.9452,1.0,ok,2026-04-06T17:39:22.695546
SMAP,A-2,LLM-TSAD,0.7304,fixed,0.7304,0.7304,0.7304,0.7059,0.7568,0.9263,0.863,0.9997,ok,2026-04-06T17:41:35.661510
SMAP,A-3,ViT4TS,0.4944,0.01,0.2636,0.4944,0.3005,0.3778,0.7151,0.8951,0.811,0.9986,ok,2026-04-06T17:43:08.771195
SMAP,A-3,VLM4TS,0.3005,0.001,0.0,0.0,0.3005,0.3056,0.2957,0.9356,0.8815,0.9967,ok,2026-04-06T17:44:59.657731
SMAP,A-3,LLM-TSAD,0.6352,fixed,0.6352,0.6352,0.6352,0.7652,0.543,0.8803,0.7874,0.998,ok,2026-04-06T17:47:26.021950
SMAP,A-4,ViT4TS,0.6486,0.001,0.1847,0.4901,0.6486,0.5189,0.8649,0.9954,0.9911,0.9998,ok,2026-04-06T17:53:35.643063
SMAP,A-4,VLM4TS,0.4901,0.01,0.4066,0.4901,0.0,0.3246,1.0,0.8113,0.6825,1.0,ok,2026-04-06T17:55:26.885485
SMAP,A-4,LLM-TSAD,0.0977,fixed,0.0977,0.0977,0.0977,0.0765,0.1351,0.3148,0.1871,0.9937,ok,2026-04-06T18:02:39.674545
SMAP,A-5,ViT4TS,0.6846,0.001,0.2302,0.5965,0.6846,0.5204,1.0,0.9963,0.9926,1.0,ok,2026-04-06T18:03:25.247903
SMAP,A-5,VLM4TS,0.6846,0.001,0.2629,0.5965,0.6846,0.5204,1.0,0.9963,0.9926,1.0,ok,2026-04-06T18:04:20.011432
SMAP,A-5,LLM-TSAD,0.2387,fixed,0.2387,0.2387,0.2387,0.151,0.5686,0.503,0.3361,0.999,ok,2026-04-06T18:05:00.767810
SMAP,A-6,ViT4TS,0.1485,0.01,0.114,0.1485,0.0,0.0826,0.7317,0.379,0.2338,0.9994,ok,2026-04-06T18:05:36.253041
SMAP,A-6,VLM4TS,0.1846,0.01,0.1775,0.1846,0.0786,0.1056,0.7317,0.3711,0.2279,0.9994,ok,2026-04-06T18:06:29.901573
SMAP,A-6,LLM-TSAD,0.0914,fixed,0.0914,0.0914,0.0914,0.0486,0.7805,0.5334,0.3637,0.9997,ok,2026-04-06T18:07:14.305636
SMAP,A-7,ViT4TS,0.9567,0.1,0.9567,0.0344,0.0,0.9867,0.9284,0.9981,0.9972,0.9989,ok,2026-04-06T18:08:55.103749
SMAP,A-7,VLM4TS,0.607,0.1,0.607,0.0244,0.0,0.4358,1.0,0.8926,0.8061,1.0,ok,2026-04-06T18:10:51.775444
SMAP,A-7,LLM-TSAD,0.2386,fixed,0.2386,0.2386,0.2386,0.6488,0.1462,0.8791,0.8035,0.9704,ok,2026-04-06T18:13:30.169758
SMAP,A-8,ViT4TS,0.1721,0.1,0.1721,0.0613,0.0,0.3387,0.1153,0.5275,0.373,0.9005,ok,2026-04-06T18:14:42.803892
SMAP,A-8,VLM4TS,0.1873,0.1,0.1873,0.063,0.0678,0.611,0.1106,0.7333,0.6479,0.8445,ok,2026-04-06T18:16:14.384690
SMAP,A-8,LLM-TSAD,0.0774,fixed,0.0774,0.0774,0.0774,0.7868,0.0407,0.8758,0.8062,0.9587,ok,2026-04-06T18:18:04.386505
SMAP,A-9,ViT4TS,0.0955,0.1,0.0955,0.0636,0.0201,0.1746,0.0657,0.3358,0.2285,0.6331,ok,2026-04-06T18:19:17.985302
SMAP,A-9,VLM4TS,0.0955,0.1,0.0955,0.0662,0.02,0.1746,0.0657,0.3358,0.2285,0.6331,ok,2026-04-06T18:20:50.997091
SMAP,A-9,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.0332,0.0325,0.0338,ok,2026-04-06T18:22:31.959158
SMAP,B-1,ViT4TS,0.2143,0.01,0.1053,0.2143,0.1667,0.1358,0.507,0.8144,0.6873,0.9992,ok,2026-04-06T18:24:01.355483
SMAP,B-1,VLM4TS,0.1212,0.01,0.0513,0.1212,0.0,0.0645,1.0,0.9726,0.9466,1.0,ok,2026-04-06T18:25:49.249727
SMAP,B-1,LLM-TSAD,0.1935,fixed,0.1935,0.1935,0.1935,0.1109,0.7606,0.978,0.9572,0.9996,ok,2026-04-06T18:28:14.489327
SMAP,D-1,ViT4TS,0.1926,0.1,0.1926,0.0756,0.0374,0.3612,0.1313,0.6805,0.538,0.9254,ok,2026-04-06T18:29:53.333886
SMAP,D-1,VLM4TS,0.0796,0.01,0.0367,0.0796,0.0379,1.0,0.0414,0.9242,1.0,0.8592,ok,2026-04-06T18:36:15.696408
SMAP,D-1,LLM-TSAD,0.0271,fixed,0.0271,0.0271,0.0271,0.0511,0.0184,0.7256,0.5745,0.9845,ok,2026-04-06T18:39:22.204582
SMAP,D-11,ViT4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1675,0.1225,0.2648,ok,2026-04-06T18:40:53.403609
SMAP,D-11,VLM4TS,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7181,0.5658,0.9824,ok,2026-04-06T18:42:38.811249
SMAP,D-11,LLM-TSAD,0.2553,fixed,0.2553,0.2553,0.2553,0.189,0.3934,0.5556,0.3849,0.9983,ok,2026-04-06T18:45:04.993702
SMAP,D-12,ViT4TS,0.4284,0.1,0.4284,0.2357,0.138,0.9534,0.2763,0.9815,0.9785,0.9845,ok,2026-04-06T18:46:08.913567
SMAP,D-12,VLM4TS,0.4253,0.1,0.4253,0.2357,0.0,0.953,0.2737,0.9814,0.9783,0.9845,ok,2026-04-06T18:47:33.395485
SMAP,D-12,LLM-TSAD,0.2003,fixed,0.2003,0.2003,0.2003,1.0,0.1113,0.9087,1.0,0.8326,ok,2026-04-06T18:49:54.785212
SMAP,D-13,ViT4TS,0.9375,0.001,0.4293,0.8698,0.9375,0.9434,0.9317,0.9994,0.9989,0.9999,ok,2026-04-06T18:51:07.496340
SMAP,D-13,VLM4TS,0.9375,0.001,0.8451,0.9235,0.9375,0.9434,0.9317,0.9994,0.9989,0.9999,ok,2026-04-06T18:52:37.183248
SMAP,D-13,LLM-TSAD,0.8599,fixed,0.8599,0.8599,0.8599,0.8824,0.8385,0.9987,0.9977,0.9997,ok,2026-04-06T18:54:27.477845
SMAP,D-2,ViT4TS,0.0942,0.1,0.0942,0.0669,0.0516,0.2528,0.0578,0.7249,0.6268,0.8595,ok,2026-04-06T18:56:07.938595
SMAP,D-2,VLM4TS,0.9252,0.1,0.9252,0.2579,0.0516,0.9503,0.9014,0.989,0.9811,0.9971,ok,2026-04-06T18:58:06.007416
